Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1447,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,7.06E-06,,,
0.1166667,2.33E-05,,,
0.1333333,0.000275046,,,
0.15,0.001209408,,,
0.1666667,0.003174454,,,
0.1833333,0.006011397,,,
0.2,0.01069346,,,
0.2166667,0.05954209,,,
0.2333333,0.1833295,,,
0.25,0.4459297,,,
0.2666667,0.7129969,,,
0.2833333,0.7968909,,,
0.3,0.6367115,,,
0.3166667,0.3539118,,,
0.3333333,0.1529311,,,
0.35,0.04828754,,,
0.3666667,0.01780525,,,
0.3833333,0.0108985,,,
0.4,0.007849604,,,
0.4166667,0.005244404,,,
0.4333333,0.003670365,,,
0.45,0.002705961,,,
0.4666667,0.002186447,,,
0.4833333,0.001819044,,,
0.5,0.001663595,,,
0.5166667,0.00161019,,,
0.5333333,0.001578003,,,
0.55,0.001449734,,,
0.5666667,0.001210362,,,
0.5833333,0.000945956,,,
0.6,0.000708729,,,
0.6166667,0.00055638,,,
0.6333333,0.000459582,,,
0.65,0.000399023,,,
0.6666667,0.000353485,,,
0.6833333,0.000314385,,,
0.7,0.000276476,,,
0.7166667,0.000241906,,,
0.7333333,0.000210196,,,
0.75,0.000183016,,,
0.7666667,0.000159651,,,
0.7833333,0.000139386,,,
0.8,0.000120074,,,
0.8166667,0.000100523,,,
0.8333333,8.12E-05,,,
0.85,6.45E-05,,,
0.8666667,5.21E-05,,,
0.8833333,4.43E-05,,,
0.9,3.83E-05,,,
0.9166667,2.97E-05,,,
0.9333333,1.83E-05,,,
0.95,1.90E-05,,,
0.9666667,7.53E-05,,,
0.9833333,0.00022617,,,
1,0.000492722,,,
1.016667,0.000726372,,,
1.033333,0.000772387,,,
1.05,0.000612408,,,
1.066667,0.00037685,,,
1.083333,0.000208527,,,
1.1,0.000101715,,,
1.116667,4.00E-05,,,
1.133333,-1.28E-06,,,
1.15,-2.82E-05,,,
1.166667,-3.44E-05,,,
1.183333,-6.29E-06,,,
1.2,7.38E-05,,,
1.216667,0.000200421,,,
1.233333,0.000300556,,,
1.25,0.000306517,,,
1.266667,0.00021711,,,
1.283333,9.96E-05,,,
1.3,1.68E-05,,,
1.316667,-2.06E-05,,,
1.333333,-1.63E-05,,,
1.35,1.02E-05,,,
1.366667,3.59E-05,,,
1.383333,4.23E-05,,,
1.4,2.52E-05,,,
1.416667,-3.19E-06,,,
1.433333,-3.08E-05,,,
1.45,-5.30E-05,,,
1.466667,-6.73E-05,,,
1.483333,-7.07E-05,,,
1.5,-5.75E-05,,,
