Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1530,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,6.39E-06,,,
0.1166667,8.30E-06,,,
0.1333333,1.47E-05,,,
0.15,0.000482276,,,
0.1666667,0.0015008,,,
0.1833333,0.003826097,,,
0.2,0.005900815,,,
0.2166667,0.02281447,,,
0.2333333,0.08368106,,,
0.25,0.2272284,,,
0.2666667,0.4387285,,,
0.2833333,0.5853092,,,
0.3,0.5606312,,,
0.3166667,0.3836903,,,
0.3333333,0.1882386,,,
0.35,0.07021399,,,
0.3666667,0.01992698,,,
0.3833333,0.008566573,,,
0.4,0.006528094,,,
0.4166667,0.005086616,,,
0.4333333,0.003512576,,,
0.45,0.002403215,,,
0.4666667,0.001746848,,,
0.4833333,0.001412824,,,
0.5,0.00117512,,,
0.5166667,0.001035407,,,
0.5333333,0.000940755,,,
0.55,0.000866607,,,
0.5666667,0.00074096,,,
0.5833333,0.00057359,,,
0.6,0.000421479,,,
0.6166667,0.000299409,,,
0.6333333,0.000221923,,,
0.65,0.000179485,,,
0.6666667,0.000162795,,,
0.6833333,0.000174239,,,
0.7,0.000185207,,,
0.7166667,0.000167802,,,
0.7333333,0.000117257,,,
0.75,5.57E-05,,,
0.7666667,1.47E-05,,,
0.7833333,-9.82E-06,,,
0.8,-2.22E-05,,,
0.8166667,-3.20E-05,,,
0.8333333,-4.30E-05,,,
0.85,-5.56E-05,,,
0.8666667,-6.85E-05,,,
0.8833333,-7.94E-05,,,
0.9,-8.66E-05,,,
0.9166667,-9.04E-05,,,
0.9333333,-9.26E-05,,,
0.95,-9.45E-05,,,
0.9666667,-9.52E-05,,,
0.9833333,-8.90E-05,,,
1,-5.56E-05,,,
1.016667,2.59E-05,,,
1.033333,0.00017114,,,
1.05,0.0003068,,,
1.066667,0.000340417,,,
1.083333,0.000250533,,,
1.1,0.000105813,,,
1.116667,-3.38E-06,,,
1.133333,-6.99E-05,,,
1.15,-0.000106141,,,
1.166667,-0.000129983,,,
1.183333,-0.000146195,,,
1.2,-0.000154778,,,
1.216667,-0.000152394,,,
1.233333,-0.000132129,,,
1.25,-8.54E-05,,,
1.266667,-2.77E-05,,,
1.283333,4.25E-06,,,
1.3,-1.17E-05,,,
1.316667,-6.20E-05,,,
1.333333,-0.000113532,,,
1.35,-0.00015001,,,
1.366667,-0.000171706,,,
1.383333,-0.000182197,,,
1.4,-0.000184104,,,
1.416667,-0.000179574,,,
1.433333,-0.000173852,,,
1.45,-0.000173137,,,
1.466667,-0.000178382,,,
1.483333,-0.000186727,,,
1.5,-0.000193164,,,
1.516667,-0.000196263,,,
1.533333,-0.00019531,,,
1.55,-0.000187442,,,
1.566667,-0.000170991,,,
1.583333,-0.000151917,,,
1.6,-0.000143811,,,
1.616667,-0.000152871,,,
1.633333,-0.000173613,,,
1.65,-0.000195071,,,
1.666667,-0.000210568,,,
1.683333,-0.000220582,,,
1.7,-0.000227019,,,
1.716667,-0.000232741,,,
1.733333,-0.000237748,,,
1.75,-0.000241324,,,
1.766667,-0.000242755,,,
1.783333,-0.000242278,,,
1.8,-0.000241324,,,
1.816667,-0.000239894,,,
1.833333,-0.000239417,,,
1.85,-0.000240371,,,
1.866667,-0.000243709,,,
1.883333,-0.000248,,,
1.9,-0.000251338,,,
1.916667,-0.000253484,,,
1.933333,-0.000253722,,,
1.95,-0.000253245,,,
1.966667,-0.00025253,,,
1.983333,-0.000253007,,,
2,-0.000255153,,,
2.016667,-0.000258729,,,
2.033333,-0.000262544,,,
2.05,-0.000265405,,,
2.066667,-0.000266358,,,
2.083333,-0.000265643,,,
2.1,-0.000263259,,,
2.116667,-0.000258967,,,
2.133333,-0.000253722,,,
2.15,-0.000250384,,,
2.166667,-0.000250384,,,
2.183333,-0.000253245,,,
2.2,-0.00025706,,,
2.216667,-0.000260159,,,
2.233333,-0.00026159,,,
2.25,-0.000261352,,,
2.266667,-0.000260398,,,
2.283333,-0.000260398,,,
2.3,-0.000261113,,,
2.316667,-0.000263736,,,
2.333333,-0.000267312,,,
2.35,-0.000271365,,,
2.366667,-0.000273988,,,
2.383333,-0.000275418,,,
2.4,-0.000276849,,,
2.416667,-0.000278756,,,
2.433333,-0.000280902,,,
2.45,-0.000282809,,,
2.466667,-0.000284955,,,
2.483333,-0.000287101,,,
2.5,-0.000289723,,,
2.516667,-0.000291392,,,
2.533333,-0.000290915,,,
2.55,-0.000288531,,,
2.566667,-0.000285432,,,
2.583333,-0.000284001,,,
2.6,-0.000284001,,,
2.616667,-0.000285193,,,
2.633333,-0.000286862,,,
2.65,-0.000289246,,,
2.666667,-0.000292346,,,
2.683333,-0.000294492,,,
2.7,-0.000295445,,,
2.716667,-0.000295207,,,
2.733333,-0.000294492,,,
2.75,-0.000294015,,,
2.766667,-0.000294253,,,
2.783333,-0.000295445,,,
2.8,-0.000297591,,,
2.816667,-0.000299975,,,
2.833333,-0.000302121,,,
2.85,-0.000302598,,,
2.866667,-0.000300691,,,
2.883333,-0.000298306,,,
2.9,-0.000296876,,,
2.916667,-0.000297591,,,
2.933333,-0.000300214,,,
2.95,-0.00030236,,,
2.966667,-0.000303313,,,
2.983333,-0.000301883,,,
3,-0.000299022,,,
3.016667,-0.000296399,,,
3.033333,-0.000295207,,,
3.05,-0.000295445,,,
3.066667,-0.000296399,,,
3.083333,-0.000298545,,,
3.1,-0.000300452,,,
3.116667,-0.000301406,,,
3.133333,-0.00029926,,,
3.15,-0.0002933,,,
3.166667,-0.000285193,,,
3.183333,-0.000278756,,,
3.2,-0.000277087,,,
3.216667,-0.000280902,,,
3.233333,-0.000288531,,,
3.25,-0.000296399,,,
3.266667,-0.000302598,,,
3.283333,-0.000306413,,,
3.3,-0.000306889,,,
3.316667,-0.000304982,,,
3.333333,-0.000301644,,,
3.35,-0.000298783,,,
3.366667,-0.000297353,,,
3.383333,-0.000297591,,,
3.4,-0.000298545,,,
3.416667,-0.000299975,,,
3.433333,-0.000300691,,,
3.45,-0.000299498,,,
3.466667,-0.000295207,,,
3.483333,-0.000288054,,,
3.5,-0.000279948,,,
3.516667,-0.000271842,,,
3.533333,-0.000265643,,,
3.55,-0.000260398,,,
3.566667,-0.000254199,,,
3.583333,-0.00024657,,,
3.6,-0.00023441,,,
3.616667,-0.000216529,,,
3.633333,-0.000193164,,,
3.65,-0.000167415,,,
3.666667,-0.000143811,,,
3.683333,-0.000125453,,,
3.7,-0.000111863,,,
3.716667,-9.97E-05,,,
3.733333,-8.66E-05,,,
3.75,-6.99E-05,,,
3.766667,-4.94E-05,,,
3.783333,-2.41E-05,,,
3.8,4.01E-06,,,
3.816667,3.79E-05,,,
3.833333,0.000799134,,,
3.85,0.007037118,,,
3.866667,0.02358361,,,
3.883333,0.05628486,,,
3.9,0.0909576,,,
3.916667,0.1045751,,,
3.933333,0.08740826,,,
3.95,0.05247612,,,
3.966667,0.02385588,,,
3.983333,0.007846072,,,
4,0.002147153,,,
4.016667,0.000827029,,,
4.033333,0.000619367,,,
4.05,0.00058718,,,
4.066667,0.000585988,,,
4.083333,0.000601009,,,
4.1,0.000626519,,,
4.116667,0.000658467,,,
4.133333,0.000691131,,,
4.15,0.000722364,,,
4.166667,0.000753596,,,
4.183333,0.000789836,,,
4.2,0.000835136,,,
4.216667,0.000895932,,,
4.233333,0.000961736,,,
4.25,0.001018718,,,
4.266667,0.001063302,,,
4.283333,0.00109835,,,
4.3,0.001131251,,,
4.316667,0.001155809,,,
4.333333,0.001176789,,,
4.35,0.001197532,,,
