Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1371,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,6.20E-06,,,
0.1166667,7.87E-06,,,
0.1333333,1.26E-05,,,
0.15,0.000525236,,,
0.1666667,0.001640081,,,
0.1833333,0.004194736,,,
0.2,0.006406784,,,
0.2166667,0.006896019,,,
0.2333333,0.005371571,,,
0.25,0.00415659,,,
0.2666667,0.005308867,,,
0.2833333,0.01005125,,,
0.3,0.01459432,,,
0.3166667,0.01481438,,,
0.3333333,0.01044035,,,
0.35,0.004657984,,,
0.3666667,0.001796484,,,
0.3833333,0.000439882,,,
0.4,0.000312567,,,
0.4166667,0.000264883,,,
0.4333333,0.000218868,,,
0.45,0.000169277,,,
0.4666667,0.000118017,,,
0.4833333,6.48E-05,,,
0.5,2.31E-05,,,
0.5166667,-9.54E-07,,,
0.5333333,-1.50E-05,,,
0.55,-2.57E-05,,,
0.5666667,-3.86E-05,,,
0.5833333,-5.22E-05,,,
0.6,-6.51E-05,,,
0.6166667,-7.65E-05,,,
0.6333333,-8.32E-05,,,
0.65,-8.51E-05,,,
0.6666667,-8.08E-05,,,
0.6833333,-7.46E-05,,,
0.7,-7.34E-05,,,
0.7166667,-8.30E-05,,,
0.7333333,-9.89E-05,,,
0.75,-0.000113487,,,
0.7666667,-0.000123501,,,
0.7833333,-0.000128746,,,
0.8,-0.00013113,,,
0.8166667,-0.000132084,,,
0.8333333,-0.000133991,,,
0.85,-0.000136852,,,
0.8666667,-0.000140429,,,
0.8833333,-0.000144005,,,
0.9,-0.000146627,,,
0.9166667,-0.000149727,,,
0.9333333,-0.000152826,,,
0.95,-0.000156641,,,
0.9666667,-0.000159264,,,
0.9833333,-0.000159979,,,
1,-0.000155687,,,
1.016667,-0.000149727,,,
1.033333,-0.00014782,,,
1.05,-0.000152826,,,
1.066667,-0.00016284,,,
1.083333,-0.000170469,,,
1.1,-0.000174284,,,
1.116667,-0.000175238,,,
1.133333,-0.000176191,,,
1.15,-0.000177383,,,
1.166667,-0.000179052,,,
1.183333,-0.000181913,,,
1.2,-0.000185251,,,
1.216667,-0.000187635,,,
1.233333,-0.000189066,,,
1.25,-0.000191212,,,
1.266667,-0.00019455,,,
1.283333,-0.000197172,,,
