2A_time,2A_temp,2A_sulf,2A_anly,2A_yield product
153,104,75,57,0.2940383884095679
153,104,75,57,0.9083951314763937
153,104,75,57,0.3440773054934105
260,104,80,38,0.5234458221056324
260,104,80,38,0.4888445129173139
260,104,80,38,0.9184593893834241
330,58,79,75,0.3818627881951472
330,58,79,75,0.3215261762994725
330,58,79,75,0.31488826612759546
333,58,89,61,0.3542914313390447
333,58,89,61,0.30243169676454695
333,58,89,61,0.3381024868877461
408,104,90,71,0.8412682633038038
408,104,90,71,0.7587067991605478
408,104,90,71,0.8161509316266866
468,104,85,54,0.33351125796354786
468,104,85,54,0.6011093731660997
468,104,85,54,0.6618736480682679
471,104,79,75,0.39876777697586036
471,104,79,75,0.32572600041712935
471,104,79,75,0.36954540071914005
486,104,88,86,0.7633084927448996
486,104,88,86,0.7881812953326034
486,104,88,86,0.7570493097124092
503,58,81,62,0.3125590499421733
503,58,81,62,0.32244263669246315
503,58,81,62,0.28794567719776043
509,104,89,86,0.6558348749429667
509,104,89,86,0.6685312826857258
509,104,89,86,0.7509264288143607
528,104,79,83,0.21517185225791055
528,104,79,83,0.2420352725408328
528,104,79,83,0.2361261211551505
545,133,96,82,0.9758074170202001
545,133,96,82,0.9761863055021684
545,133,96,82,0.9765949858583914
555,58,98,72,0.3355992108589982
555,58,98,72,0.3895976638912023
555,58,98,72,0.33654712001795917
556,133,89,46,0.9597910924519617
556,133,89,46,0.9584710340037991
556,133,89,46,0.9644493662374876
561,133,87,67,0.9309821196139697
561,133,87,67,0.9543837109968479
561,133,87,67,0.9360560235912989
