X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.002,8014,0.002,-326,0.002,-327,0.002,181,0.002,-15,0.002,-751,0.002,-376,0.002,-514,0.002,164,0.002,-212,0.002,68,0.002,54,0.002,-44,0.002,-435,0.002,-235,0.002,-786,0.002,-204,0.002,-219,0.002,-38,0.002,13,0.002,-325,0.002,-590,0.002,40,0.002,-85,0.002,-327,0.002,-86,0.002,-926,0.002,-83,0.002,-665,0.002,-471,0.002,306,0.002,-636,0.002,553,0.002,-564,0.002,-556,0.002,-291,0.002,10,0.002,-285,0.002,-88,0.002,642,0.002,-527,0.002,-177,0.002,-558,0.002,-396,0.002,19,0.002,-121,0.002,737,0.002,-88
0.003,16817,0.003,-807,0.003,-690,0.003,375,0.003,-110,0.003,-983,0.003,-869,0.003,-916,0.003,516,0.003,31,0.003,276,0.003,70,0.003,-159,0.003,-778,0.003,-770,0.003,-1566,0.003,-202,0.003,-295,0.003,13,0.003,81,0.003,-780,0.003,-1036,0.003,159,0.003,-512,0.003,-567,0.003,-24,0.003,-1678,0.003,90,0.003,-1196,0.003,-823,0.003,284,0.003,-1143,0.003,804,0.003,-987,0.003,-1036,0.003,-617,0.003,-444,0.003,-471,0.003,-638,0.003,751,0.003,-857,0.003,-784,0.003,-1083,0.003,-941,0.003,27,0.003,-207,0.003,1428,0.003,-72
0.005,26338,0.005,-1146,0.005,-1025,0.005,377,0.005,12,0.005,-983,0.005,-1264,0.005,-1350,0.005,748,0.005,308,0.005,348,0.005,171,0.005,-102,0.005,-1322,0.005,-1187,0.005,-2227,0.005,34,0.005,-98,0.005,244,0.005,-33,0.005,-1031,0.005,-1301,0.005,43,0.005,-1002,0.005,-825,0.005,26,0.005,-2235,0.005,-31,0.005,-1630,0.005,-1047,0.005,-147,0.005,-1809,0.005,997,0.005,-1390,0.005,-1757,0.005,-1171,0.005,-772,0.005,-822,0.005,-1181,0.005,566,0.005,-1163,0.005,-1486,0.005,-1604,0.005,-1546,0.005,96,0.005,-749,0.005,1911,0.005,-19
0.007,36564,0.007,-1372,0.007,-1414,0.007,445,0.007,367,0.007,-470,0.007,-1522,0.007,-1503,0.007,798,0.007,634,0.007,446,0.007,200,0.007,-58,0.007,-1703,0.007,-1606,0.007,-2924,0.007,123,0.007,168,0.007,467,0.007,-251,0.007,-1050,0.007,-1260,0.007,-357,0.007,-1350,0.007,-926,0.007,580,0.007,-2294,0.007,-159,0.007,-1884,0.007,-1023,0.007,-611,0.007,-2135,0.007,1133,0.007,-1623,0.007,-2453,0.007,-1604,0.007,-1162,0.007,-1369,0.007,-1767,0.007,237,0.007,-1277,0.007,-2130,0.007,-1813,0.007,-2239,0.007,142,0.007,-1135,0.007,2205,0.007,-66
0.008,47765,0.008,-1659,0.008,-1897,0.008,534,0.008,612,0.008,198,0.008,-1585,0.008,-1623,0.008,819,0.008,613,0.008,433,0.008,205,0.008,39,0.008,-1895,0.008,-1768,0.008,-3426,0.008,287,0.008,692,0.008,810,0.008,-430,0.008,-1090,0.008,-790,0.008,-736,0.008,-1485,0.008,-952,0.008,1557,0.008,-2105,0.008,-525,0.008,-1854,0.008,-866,0.008,-905,0.008,-2606,0.008,1222,0.008,-1803,0.008,-2872,0.008,-1832,0.008,-1625,0.008,-1828,0.008,-2308,0.008,-481,0.008,-1190,0.008,-2722,0.008,-1929,0.008,-2701,0.008,140,0.008,-1631,0.008,1959,0.008,-233
0.01,59693,0.01,-1794,0.01,-1934,0.01,380,0.01,719,0.01,1010,0.01,-1433,0.01,-1528,0.01,652,0.01,797,0.01,280,0.01,129,0.01,58,0.01,-2002,0.01,-1972,0.01,-3751,0.01,403,0.01,1069,0.01,829,0.01,-724,0.01,-1208,0.01,-363,0.01,-999,0.01,-1616,0.01,-722,0.01,2257,0.01,-1696,0.01,-486,0.01,-1806,0.01,-525,0.01,-1345,0.01,-2865,0.01,1428,0.01,-1838,0.01,-3010,0.01,-2153,0.01,-2036,0.01,-2080,0.01,-2557,0.01,-1172,0.01,-869,0.01,-3136,0.01,-1713,0.01,-3012,0.01,-281,0.01,-2048,0.01,1766,0.01,-476
0.012,72320,0.012,-1686,0.012,-1944,0.012,69,0.012,780,0.012,1467,0.012,-1232,0.012,-1347,0.012,127,0.012,781,0.012,68,0.012,152,0.012,288,0.012,-2500,0.012,-2032,0.012,-4191,0.012,536,0.012,1345,0.012,827,0.012,-1048,0.012,-1128,0.012,-77,0.012,-1197,0.012,-1493,0.012,-517,0.012,2845,0.012,-1282,0.012,-706,0.012,-1689,0.012,-95,0.012,-1463,0.012,-3277,0.012,1719,0.012,-2009,0.012,-2927,0.012,-2034,0.012,-1929,0.012,-2176,0.012,-2510,0.012,-1994,0.012,-569,0.012,-3095,0.012,-1298,0.012,-3258,0.012,-621,0.012,-2521,0.012,1504,0.012,-858
0.013,85933,0.013,-1260,0.013,-1998,0.013,0,0.013,396,0.013,1626,0.013,-962,0.013,-990,0.013,-374,0.013,753,0.013,-215,0.013,19,0.013,368,0.013,-2592,0.013,-2061,0.013,-4528,0.013,691,0.013,1317,0.013,687,0.013,-1341,0.013,-736,0.013,197,0.013,-1308,0.013,-1260,0.013,-279,0.013,3233,0.013,-888,0.013,-728,0.013,-1595,0.013,154,0.013,-1602,0.013,-3602,0.013,2011,0.013,-2374,0.013,-2459,0.013,-1714,0.013,-1816,0.013,-2009,0.013,-2436,0.013,-2633,0.013,-266,0.013,-3136,0.013,-799,0.013,-3386,0.013,-1124,0.013,-2474,0.013,1398,0.013,-1373
0.015,100717,0.015,-897,0.015,-1924,0.015,-293,0.015,-356,0.015,1516,0.015,-907,0.015,-786,0.015,-932,0.015,304,0.015,-892,0.015,-49,0.015,324,0.015,-2802,0.015,-2170,0.015,-4747,0.015,862,0.015,1294,0.015,304,0.015,-1774,0.015,-743,0.015,256,0.015,-1235,0.015,-885,0.015,-160,0.015,3074,0.015,-917,0.015,-824,0.015,-1510,0.015,161,0.015,-1706,0.015,-3999,0.015,2225,0.015,-2901,0.015,-2110,0.015,-1438,0.015,-1689,0.015,-1581,0.015,-2401,0.015,-2961,0.015,-295,0.015,-3060,0.015,-672,0.015,-3249,0.015,-1535,0.015,-2555,0.015,1286,0.015,-2058
0.017,116292,0.017,-615,0.017,-2040,0.017,-944,0.017,-981,0.017,1350,0.017,-1024,0.017,-574,0.017,-1505,0.017,3,0.017,-1787,0.017,-329,0.017,90,0.017,-3186,0.017,-2471,0.017,-4864,0.017,729,0.017,884,0.017,-36,0.017,-2225,0.017,-807,0.017,-256,0.017,-1466,0.017,-764,0.017,-195,0.017,2497,0.017,-1377,0.017,-705,0.017,-1641,0.017,152,0.017,-1749,0.017,-4160,0.017,2224,0.017,-3400,0.017,-2064,0.017,-1325,0.017,-1396,0.017,-1015,0.017,-2444,0.017,-2966,0.017,-603,0.017,-3082,0.017,-538,0.017,-3206,0.017,-1889,0.017,-2465,0.017,1687,0.017,-2749
