model ID,time,temp,sulf,anly,yield product
78,261,138,96,90,0.9343127496654757
78,261,138,96,90,0.8308550373524086
78,261,138,96,90,0.8325269433288133
80,295,138,96,64,0.7653697312676891
80,295,138,96,64,0.9442836565459566
80,295,138,96,64,0.9059266198110473
103,540,148,99,33,0.9458970608858552
103,540,148,99,33,0.8588078417568428
103,540,148,99,33,0.8845668237938605
104,546,148,92,61,0.8095027098438541
104,546,148,92,61,0.9078928169427387
104,546,148,92,61,0.890166089903179
88,552,71,75,40,0.00047964340625878803
88,552,71,75,40,0.0005160802503269813
88,552,71,75,40,0.0004850427413639582
89,595,71,99,57,0.035010793898853663
89,595,71,99,57,0.032816659570005874
89,595,71,99,57,0.03295176594369742
70,502,119,92,94,0.2184575602009243
70,502,119,92,94,0.21641782663073725
70,502,119,92,94,0.21535462225342197
