Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1351,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,8.49E-06,,,
0.1166667,1.21E-05,,,
0.1333333,8.91E-05,,,
0.15,0.000492007,,,
0.1666667,0.001374155,,,
0.1833333,0.002849728,,,
0.2,0.003897816,,,
0.2166667,0.003798395,,,
0.2333333,0.00267449,,,
0.25,0.001398712,,,
0.2666667,0.000737101,,,
0.2833333,0.000410944,,,
0.3,0.000331789,,,
0.3166667,0.000261217,,,
0.3333333,0.000184685,,,
0.35,0.000112444,,,
0.3666667,6.48E-05,,,
0.3833333,4.00E-05,,,
0.4,2.66E-05,,,
0.4166667,1.06E-05,,,
0.4333333,-1.22E-05,,,
0.45,-3.73E-05,,,
0.4666667,-5.66E-05,,,
0.4833333,-7.23E-05,,,
0.5,-8.38E-05,,,
0.5166667,-9.26E-05,,,
0.5333333,-0.000100225,,,
0.55,-0.000107855,,,
0.5666667,-0.000115246,,,
0.5833333,-0.000121683,,,
0.6,-0.000125498,,,
0.6166667,-0.000127882,,,
0.6333333,-0.000129074,,,
0.65,-0.000130028,,,
0.6666667,-0.000130504,,,
0.6833333,-0.000131935,,,
0.7,-0.000135511,,,
0.7166667,-0.000139803,,,
0.7333333,-0.00014481,,,
0.75,-0.000147909,,,
0.7666667,-0.000150532,,,
0.7833333,-0.000153631,,,
0.8,-0.000157923,,,
0.8166667,-0.000162453,,,
0.8333333,-0.000166506,,,
0.85,-0.000168413,,,
0.8666667,-0.000168651,,,
0.8833333,-0.000168651,,,
0.9,-0.000169367,,,
0.9166667,-0.000171512,,,
0.9333333,-0.000174612,,,
0.95,-0.000178188,,,
0.9666667,-0.000182718,,,
0.9833333,-0.000185341,,,
1,-0.000186533,,,
1.016667,-0.000186533,,,
1.033333,-0.000187725,,,
1.05,-0.000190824,,,
1.066667,-0.000193685,,,
1.083333,-0.000195116,,,
1.1,-0.000196785,,,
1.116667,-0.000198931,,,
1.133333,-0.000201792,,,
1.15,-0.000204176,,,
1.166667,-0.000205845,,,
1.183333,-0.000207514,,,
1.2,-0.000209659,,,
1.216667,-0.000212044,,,
1.233333,-0.000213951,,,
1.25,-0.000215143,,,
1.266667,-0.000215381,,,
1.283333,-0.00021562,,,
1.3,-0.000216097,,,
1.316667,-0.000217289,,,
1.333333,-0.000218242,,,
1.35,-0.000218719,,,
1.366667,-0.000219911,,,
1.383333,-0.000222534,,,
1.4,-0.000227064,,,
1.416667,-0.000231594,,,
1.433333,-0.000234932,,,
1.45,-0.000237078,,,
1.466667,-0.000237554,,,
1.483333,-0.000237078,,,
1.5,-0.000235409,,,
1.516667,-0.000233978,,,
1.533333,-0.000234217,,,
1.55,-0.000235885,,,
1.566667,-0.000237316,,,
1.583333,-0.00023827,,,
1.6,-0.000238031,,,
1.616667,-0.000238508,,,
1.633333,-0.000239462,,,
1.65,-0.000241131,,,
1.666667,-0.000243515,,,
1.683333,-0.000245899,,,
1.7,-0.000248045,,,
1.716667,-0.000249714,,,
1.733333,-0.000250429,,,
1.75,-0.000249952,,,
1.766667,-0.000249714,,,
1.783333,-0.000250429,,,
1.8,-0.000251383,,,
1.816667,-0.000252336,,,
1.833333,-0.000254005,,,
1.85,-0.000256628,,,
1.866667,-0.000259966,,,
1.883333,-0.000263065,,,
1.9,-0.000264257,,,
1.916667,-0.000263304,,,
1.933333,-0.000261635,,,
1.95,-0.000260919,,,
1.966667,-0.000261396,,,
1.983333,-0.00026235,,,
2,-0.000263304,,,
2.016667,-0.000264019,,,
2.033333,-0.000264734,,,
2.05,-0.000265688,,,
2.066667,-0.000266403,,,
2.083333,-0.000267357,,,
2.1,-0.000268549,,,
2.116667,-0.000270218,,,
2.133333,-0.000271648,,,
2.15,-0.00027284,,,
2.166667,-0.00027284,,,
2.183333,-0.000272125,,,
2.2,-0.000271171,,,
2.216667,-0.000270456,,,
2.233333,-0.000269502,,,
2.25,-0.000268787,,,
2.266667,-0.00026831,,,
2.283333,-0.000268549,,,
2.3,-0.000270218,,,
2.316667,-0.000272602,,,
2.333333,-0.000275701,,,
2.35,-0.000278086,,,
2.366667,-0.000279278,,,
2.383333,-0.000279278,,,
2.4,-0.000278562,,,
2.416667,-0.000278324,,,
2.433333,-0.000279278,,,
2.45,-0.000280708,,,
2.466667,-0.000282377,,,
2.483333,-0.000283331,,,
2.5,-0.000284523,,,
2.516667,-0.000285715,,,
2.533333,-0.000286669,,,
2.55,-0.000287384,,,
2.566667,-0.000288338,,,
2.583333,-0.000290006,,,
2.6,-0.000292391,,,
2.616667,-0.000294298,,,
2.633333,-0.000295967,,,
2.65,-0.000296921,,,
2.666667,-0.000297159,,,
2.683333,-0.000297159,,,
2.7,-0.000296682,,,
2.716667,-0.000296682,,,
2.733333,-0.000297159,,,
2.75,-0.000298351,,,
2.766667,-0.00030002,,,
2.783333,-0.000301689,,,
2.8,-0.000303119,,,
2.816667,-0.000304312,,,
2.833333,-0.000305265,,,
2.85,-0.000305504,,,
2.866667,-0.000305504,,,
2.883333,-0.000306696,,,
2.9,-0.000308126,,,
2.916667,-0.000309795,,,
2.933333,-0.000311226,,,
2.95,-0.000311941,,,
2.966667,-0.000312418,,,
2.983333,-0.000313133,,,
3,-0.000313371,,,
3.016667,-0.000313371,,,
3.033333,-0.000312895,,,
3.05,-0.000312895,,,
3.066667,-0.000313133,,,
3.083333,-0.000313371,,,
3.1,-0.00031361,,,
3.116667,-0.00031361,,,
3.133333,-0.000314087,,,
3.15,-0.000314564,,,
3.166667,-0.000315517,,,
3.183333,-0.000316471,,,
3.2,-0.000316709,,,
3.216667,-0.000316948,,,
3.233333,-0.000316948,,,
3.25,-0.000316709,,,
3.266667,-0.000316709,,,
3.283333,-0.000316471,,,
3.3,-0.000315994,,,
3.316667,-0.000315517,,,
3.333333,-0.000316232,,,
3.35,-0.000317663,,,
3.366667,-0.00031957,,,
3.383333,-0.000321478,,,
3.4,-0.000322908,,,
3.416667,-0.000324339,,,
3.433333,-0.000325531,,,
3.45,-0.000326484,,,
3.466667,-0.000325531,,,
3.483333,-0.00032267,,,
3.5,-0.000319094,,,
3.516667,-0.000315279,,,
3.533333,-0.000311703,,,
3.55,-0.000307411,,,
3.566667,-0.000301212,,,
3.583333,-0.000292152,,,
3.6,-0.000279516,,,
3.616667,-0.000264972,,,
3.633333,-0.000249952,,,
3.65,-0.000235409,,,
3.666667,-0.000221103,,,
3.683333,-0.000206083,,,
3.7,-0.000190109,,,
3.716667,-0.000174135,,,
3.733333,-0.000157923,,,
3.75,-0.000140041,,,
3.766667,-0.000120968,,,
3.783333,-0.000101656,,,
3.8,-8.12E-05,,,
3.816667,-4.73E-05,,,
3.833333,1.85E-05,,,
3.85,0.000138909,,,
3.866667,0.00028792,,,
3.883333,0.000386864,,,
3.9,0.000382096,,,
3.916667,0.000294834,,,
3.933333,0.000204951,,,
3.95,0.000157267,,,
3.966667,0.000150114,,,
3.983333,0.00016728,,,
4,0.000192553,,,
4.016667,0.000219971,,,
4.033333,0.000246912,,,
