Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1525,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,2.59E-06,,,
0.1166667,2.83E-06,,,
0.1333333,1.28E-05,,,
0.15,0.00038597,,,
0.1666667,0.001292676,,,
0.1833333,0.003268212,,,
0.2,0.005315274,,,
0.2166667,0.0649409,,,
0.2333333,0.2522494,,,
0.25,0.7052879,,,
0.2666667,1.328225,,,
0.2833333,1.794632,,,
0.3,1.82379,,,
0.3166667,1.419859,,,
0.3333333,0.8937368,,,
0.35,0.4576926,,,
0.3666667,0.1957895,,,
0.3833333,0.07444498,,,
0.4,0.02979657,,,
0.4166667,0.01930401,,,
0.4333333,0.01883242,,,
0.45,0.01787302,,,
0.4666667,0.01390883,,,
0.4833333,0.008671731,,,
0.5,0.005408734,,,
0.5166667,0.003587693,,,
0.5333333,0.002966851,,,
0.55,0.002589434,,,
0.5666667,0.002259701,,,
0.5833333,0.001961201,,,
0.6,0.001695603,,,
0.6166667,0.001538008,,,
0.6333333,0.001568764,,,
0.65,0.001669377,,,
0.6666667,0.001696557,,,
0.6833333,0.00159499,,,
0.7,0.001436681,,,
0.7166667,0.001283854,,,
0.7333333,0.001115054,,,
0.75,0.000928372,,,
0.7666667,0.000757903,,,
0.7833333,0.000632018,,,
0.8,0.000544995,,,
0.8166667,0.000481337,,,
0.8333333,0.000428408,,,
0.85,0.000384063,,,
0.8666667,0.000350207,,,
0.8833333,0.000326604,,,
0.9,0.000311345,,,
0.9166667,0.000303239,,,
0.9333333,0.000299186,,,
0.95,0.00029394,,,
0.9666667,0.000284642,,,
0.9833333,0.000270814,,,
1,0.000254601,,,
1.016667,0.000241011,,,
1.033333,0.000233859,,,
1.05,0.000236958,,,
1.066667,0.000246257,,,
1.083333,0.000251502,,,
1.1,0.000243396,,,
1.116667,0.000222653,,,
1.133333,0.000197858,,,
1.15,0.000179023,,,
1.166667,0.000168532,,,
1.183333,0.000163049,,,
1.2,0.000157803,,,
1.216667,0.000151843,,,
1.233333,0.000168532,,,
1.25,0.000273198,,,
1.266667,0.000572175,,,
1.283333,0.001148909,,,
1.3,0.001894683,,,
1.316667,0.002536744,,,
1.333333,0.002806634,,,
1.35,0.002640933,,,
1.366667,0.002193421,,,
1.383333,0.001659602,,,
1.4,0.001186579,,,
1.416667,0.000819415,,,
1.433333,0.000553578,,,
1.45,0.000373334,,,
1.466667,0.000259131,,,
1.483333,0.000191182,,,
1.5,0.000156611,,,
1.516667,0.000159234,,,
1.533333,0.000221461,,,
1.55,0.000374526,,,
1.566667,0.000612468,,,
1.583333,0.000869244,,,
1.6,0.001052827,,,
1.616667,0.001102418,,,
1.633333,0.001021594,,,
1.65,0.000856847,,,
1.666667,0.000666112,,,
1.683333,0.000496358,,,
1.7,0.00036642,,,
1.716667,0.000275821,,,
1.733333,0.000216454,,,
1.75,0.000177592,,,
1.766667,0.000151843,,,
1.783333,0.0001342,,,
1.8,0.000122517,,,
1.816667,0.00011465,,,
1.833333,0.000108928,,,
1.85,0.000104874,,,
1.866667,0.000105828,,,
1.883333,0.00012061,,,
1.9,0.000159711,,,
1.916667,0.000227898,,,
1.933333,0.000316113,,,
1.95,0.00040099,,,
1.966667,0.000457257,,,
1.983333,0.000471085,,,
2,0.00044629,,,
2.016667,0.000396222,,,
2.033333,0.000338286,,,
2.05,0.000284165,,,
2.066667,0.000239343,,,
2.083333,0.000203818,,,
2.1,0.000176162,,,
2.116667,0.000155419,,,
2.133333,0.000139445,,,
2.15,0.000127763,,,
2.166667,0.000117511,,,
2.183333,0.000108212,,,
2.2,0.000100821,,,
2.216667,9.58E-05,,,
2.233333,9.34E-05,,,
2.25,9.22E-05,,,
2.266667,9.15E-05,,,
2.283333,9.08E-05,,,
2.3,9.03E-05,,,
2.316667,8.99E-05,,,
2.333333,8.91E-05,,,
2.35,8.84E-05,,,
2.366667,8.79E-05,,,
2.383333,8.79E-05,,,
2.4,8.89E-05,,,
2.416667,9.06E-05,,,
2.433333,9.32E-05,,,
2.45,9.63E-05,,,
2.466667,0.000100344,,,
2.483333,0.000104159,,,
2.5,0.000107974,,,
2.516667,0.000113696,,,
2.533333,0.000123471,,,
2.55,0.000137776,,,
2.566667,0.000153035,,,
2.583333,0.000166148,,,
2.6,0.000173301,,,
2.616667,0.000174016,,,
2.633333,0.000169009,,,
2.65,0.000160426,,,
2.666667,0.000149697,,,
2.683333,0.000139207,,,
2.7,0.00012967,,,
2.716667,0.000121325,,,
2.733333,0.000113457,,,
2.75,0.000105351,,,
2.766667,9.72E-05,,,
2.783333,9.06E-05,,,
2.8,8.53E-05,,,
2.816667,8.17E-05,,,
2.833333,7.98E-05,,,
2.85,7.96E-05,,,
2.866667,7.98E-05,,,
2.883333,8.03E-05,,,
2.9,8.01E-05,,,
2.916667,8.01E-05,,,
2.933333,7.96E-05,,,
2.95,7.84E-05,,,
2.966667,7.67E-05,,,
2.983333,7.58E-05,,,
3,7.70E-05,,,
3.016667,8.08E-05,,,
3.033333,8.63E-05,,,
3.05,9.25E-05,,,
3.066667,9.82E-05,,,
3.083333,0.00010106,,,
3.1,0.000100821,,,
3.116667,9.77E-05,,,
3.133333,9.32E-05,,,
3.15,8.79E-05,,,
3.166667,8.27E-05,,,
3.183333,7.84E-05,,,
3.2,7.58E-05,,,
3.216667,7.51E-05,,,
3.233333,7.46E-05,,,
3.25,7.34E-05,,,
3.266667,7.08E-05,,,
3.283333,6.70E-05,,,
3.3,6.34E-05,,,
3.316667,6.12E-05,,,
3.333333,5.91E-05,,,
3.35,5.70E-05,,,
3.366667,5.50E-05,,,
3.383333,5.48E-05,,,
3.4,5.55E-05,,,
3.416667,5.72E-05,,,
3.433333,5.96E-05,,,
3.45,6.32E-05,,,
3.466667,6.74E-05,,,
3.483333,7.34E-05,,,
3.5,8.08E-05,,,
3.516667,9.01E-05,,,
3.533333,0.000102729,,,
3.55,0.000119656,,,
3.566667,0.000144213,,,
3.583333,0.000180215,,,
3.6,0.000231713,,,
3.616667,0.000298232,,,
3.633333,0.000370473,,,
3.65,0.000436038,,,
3.666667,0.000483722,,,
3.683333,0.000510424,,,
3.7,0.000521392,,,
3.716667,0.000523776,,,
3.733333,0.000525922,,,
3.75,0.000534982,,,
3.766667,0.000556201,,,
3.783333,0.000591964,,,
3.8,0.000650138,,,
3.816667,0.000738353,,,
3.833333,0.00087139,,,
3.85,0.001016825,,,
3.866667,0.00111863,,,
3.883333,0.001146048,,,
3.9,0.001120776,,,
3.916667,0.001102656,,,
3.933333,0.00117895,,,
3.95,0.001613349,,,
3.966667,0.002679795,,,
3.983333,0.004577368,,,
4,0.006473273,,,
4.016667,0.007156104,,,
4.033333,0.006201476,,,
4.05,0.004395455,,,
4.066667,0.002993315,,,
4.083333,0.002302617,,,
4.1,0.002137393,,,
4.116667,0.002150506,,,
4.133333,0.002192706,,,
4.15,0.002239674,,,
4.166667,0.002280444,,,
4.183333,0.002314538,,,
4.2,0.002367228,,,
4.216667,0.002468795,,,
4.233333,0.00263688,,,
4.25,0.002810925,,,
4.266667,0.002910584,,,
4.283333,0.002914399,,,
4.3,0.002871007,,,
4.316667,0.002853125,,,
4.333333,0.002856702,,,
4.35,0.00288555,,,
4.366667,0.002947301,,,
4.383333,0.003051013,,,
4.4,0.00318262,,,
4.416667,0.003400773,,,
4.433333,0.003672332,,,
4.45,0.004038066,,,
4.466667,0.005978554,,,
4.483333,0.01100299,,,
4.5,0.02177212,,,
4.516667,0.0347645,,,
4.533333,0.04081866,,,
4.55,0.03526184,,,
4.566667,0.0220997,,,
4.583333,0.01105687,,,
4.6,0.005483359,,,
4.616667,0.003720015,,,
4.633333,0.00378558,,,
4.65,0.004045218,,,
4.666667,0.004101247,,,
4.683333,0.003910273,,,
4.7,0.003629178,,,
4.716667,0.003477782,,,
4.733333,0.003429145,,,
4.75,0.003438443,,,
4.766667,0.003507823,,,
4.783333,0.003627032,,,
4.8,0.00387308,,,
4.816667,0.004096001,,,
4.833333,0.004166335,,,
4.85,0.004248828,,,
4.866667,0.00461337,,,
4.883333,0.005639046,,,
4.9,0.006767005,,,
4.916667,0.007148236,,,
4.933333,0.006475657,,,
4.95,0.005272597,,,
4.966667,0.004396409,,,
4.983333,0.003993481,,,
5,0.003868788,,,
5.016667,0.003829211,,,
5.033333,0.003774613,,,
5.05,0.003738612,,,
5.066667,0.003800601,,,
5.083333,0.004043788,,,
5.1,0.004601687,,,
5.116667,0.005673856,,,
5.133333,0.007769555,,,
5.15,0.01186082,,,
5.166667,0.01942632,,,
5.183333,0.03662774,,,
5.2,0.07084391,,,
5.216667,0.1277201,,,
5.233333,0.193876,,,
5.25,0.2257781,,,
5.266667,0.1986909,,,
5.283333,0.129296,,,
5.3,0.06320116,,,
5.316667,0.02647611,,,
5.333333,0.01137921,,,
5.35,0.00770542,,,
5.366667,0.006254643,,,
5.383333,0.005181044,,,
5.4,0.004469842,,,
5.416667,0.003988951,,,
5.433333,0.003685206,,,
5.45,0.003445119,,,
5.466667,0.003229827,,,
5.483333,0.003022403,,,
5.5,0.002835721,,,
5.516667,0.002679557,,,
5.533333,0.002556771,,,
5.55,0.002455682,,,
5.566667,0.002369612,,,
5.583333,0.002304763,,,
5.6,0.002282113,,,
5.616667,0.002321213,,,
5.633333,0.002435416,,,
5.65,0.002626389,,,
5.666667,0.002909392,,,
5.683333,0.00330779,,,
5.7,0.003822535,,,
5.716667,0.004308194,,,
5.733333,0.004607409,,,
5.75,0.004713982,,,
5.766667,0.004729003,,,
5.783333,0.004718274,,,
5.8,0.004641742,,,
5.816667,0.004524678,,,
5.833333,0.004445046,,,
5.85,0.004457444,,,
5.866667,0.004559487,,,
5.883333,0.004707068,,,
5.9,0.004838675,,,
5.916667,0.004901141,,,
5.933333,0.004869431,,,
5.95,0.004753083,,,
5.966667,0.004584521,,,
5.983333,0.004397839,,,
6,0.004215926,,,
6.016667,0.004047841,,,
6.033333,0.003895015,,,
6.05,0.003753394,,,
6.066667,0.003620118,,,
6.083333,0.003492564,,,
6.1,0.003368825,,,
6.116667,0.003246993,,,
6.133333,0.003127784,,,
6.15,0.003011197,,,
6.166667,0.002898425,,,
6.183333,0.002788991,,,
6.2,0.002682656,,,
6.216667,0.002579659,,,
