Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1507,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,9.46E-06,,,
0.1166667,3.31E-05,,,
0.1333333,0.00042741,,,
0.15,0.001592323,,,
0.1666667,0.004030868,,,
0.1833333,0.006916687,,,
0.2,0.008154079,,,
0.2166667,0.006922171,,,
0.2333333,0.004244253,,,
0.25,0.002190039,,,
0.2666667,0.001319811,,,
0.2833333,0.001239225,,,
0.3,0.001401827,,,
0.3166667,0.001315281,,,
0.3333333,0.00095503,,,
0.35,0.00052397,,,
0.3666667,0.000285551,,,
0.3833333,0.000164434,,,
0.4,0.000131056,,,
0.4166667,0.000105783,,,
0.4333333,7.67E-05,,,
0.45,4.64E-05,,,
0.4666667,2.19E-05,,,
0.4833333,8.79E-07,,,
0.5,-1.29E-05,,,
0.5166667,-2.25E-05,,,
0.5333333,-2.87E-05,,,
0.55,-3.44E-05,,,
0.5666667,-4.18E-05,,,
0.5833333,-4.99E-05,,,
0.6,-5.66E-05,,,
0.6166667,-6.13E-05,,,
0.6333333,-6.28E-05,,,
0.65,-6.30E-05,,,
0.6666667,-6.16E-05,,,
0.6833333,-6.21E-05,,,
0.7,-6.78E-05,,,
0.7166667,-7.85E-05,,,
0.7333333,-9.00E-05,,,
0.75,-9.73E-05,,,
0.7666667,-0.000101641,,,
0.7833333,-0.000104025,,,
0.8,-0.000107124,,,
0.8166667,-0.000110939,,,
0.8333333,-0.000114515,,,
0.85,-0.0001169,,,
0.8666667,-0.000118569,,,
0.8833333,-0.000120714,,,
0.9,-0.000124052,,,
0.9166667,-0.000128105,,,
0.9333333,-0.00013192,,,
0.95,-0.000133827,,,
0.9666667,-0.000133351,,,
0.9833333,-0.000131682,,,
1,-0.00013049,,,
1.016667,-0.000131205,,,
1.033333,-0.000135019,,,
1.05,-0.00014098,,,
1.066667,-0.00014694,,,
1.083333,-0.000151709,,,
1.1,-0.00015457,,,
1.116667,-0.000156477,,,
1.133333,-0.000156954,,,
1.15,-0.000156716,,,
1.166667,-0.000156954,,,
1.183333,-0.000158384,,,
1.2,-0.000160769,,,
1.216667,-0.000162199,,,
1.233333,-0.000164345,,,
1.25,-0.00016816,,,
1.266667,-0.000171736,,,
1.283333,-0.000174359,,,
1.3,-0.000175312,,,
1.316667,-0.000175789,,,
1.333333,-0.000177458,,,
1.35,-0.000179604,,,
1.366667,-0.000181511,,,
1.383333,-0.000182703,,,
1.4,-0.000183657,,,
1.416667,-0.000184134,,,
1.433333,-0.000184134,,,
1.45,-0.000184611,,,
1.466667,-0.000185564,,,
1.483333,-0.000186995,,,
1.5,-0.000188187,,,
1.516667,-0.00018914,,,
1.533333,-0.000189856,,,
1.55,-0.000190333,,,
1.566667,-0.000191763,,,
1.583333,-0.00019367,,,
1.6,-0.000195101,,,
1.616667,-0.000196293,,,
1.633333,-0.000196055,,,
1.65,-0.000195101,,,
1.666667,-0.000194386,,,
1.683333,-0.000194624,,,
1.7,-0.000196531,,,
1.716667,-0.0001982,,,
1.733333,-0.000200108,,,
1.75,-0.000201777,,,
1.766667,-0.000204161,,,
1.783333,-0.000206545,,,
1.8,-0.000208214,,,
1.816667,-0.000209168,,,
1.833333,-0.000209406,,,
1.85,-0.000208691,,,
1.866667,-0.000207737,,,
1.883333,-0.00020726,,,
1.9,-0.000207737,,,
1.916667,-0.000209883,,,
1.933333,-0.000212029,,,
1.95,-0.000213936,,,
1.966667,-0.000214651,,,
1.983333,-0.000213698,,,
2,-0.000212267,,,
2.016667,-0.000211075,,,
2.033333,-0.000210837,,,
2.05,-0.000212029,,,
2.066667,-0.000213936,,,
2.083333,-0.00021632,,,
2.1,-0.000218704,,,
2.116667,-0.00022085,,,
2.133333,-0.000221565,,,
2.15,-0.000221089,,,
2.166667,-0.000219658,,,
2.183333,-0.000218466,,,
2.2,-0.000218228,,,
2.216667,-0.000218943,,,
2.233333,-0.000220373,,,
2.25,-0.000221565,,,
2.266667,-0.000222281,,,
2.283333,-0.000223234,,,
2.3,-0.000224903,,,
2.316667,-0.000226811,,,
2.333333,-0.000228003,,,
2.35,-0.000228718,,,
2.366667,-0.00022848,,,
2.383333,-0.000228241,,,
2.4,-0.00022848,,,
2.416667,-0.000229672,,,
2.433333,-0.000231579,,,
2.45,-0.00023301,,,
2.466667,-0.000232294,,,
2.483333,-0.000230148,,,
2.5,-0.000227764,,,
2.516667,-0.000227049,,,
2.533333,-0.000227526,,,
2.55,-0.000228241,,,
2.566667,-0.00022848,,,
2.583333,-0.000229195,,,
2.6,-0.000230387,,,
2.616667,-0.000231817,,,
2.633333,-0.000232533,,,
2.65,-0.000232771,,,
2.666667,-0.00023301,,,
2.683333,-0.000233486,,,
2.7,-0.000234202,,,
2.716667,-0.00023444,,,
2.733333,-0.000234917,,,
2.75,-0.000236109,,,
2.766667,-0.000237539,,,
2.783333,-0.000239208,,,
2.8,-0.000241593,,,
2.816667,-0.000244454,,,
2.833333,-0.000246599,,,
2.85,-0.000247315,,,
2.866667,-0.000246599,,,
2.883333,-0.000245646,,,
2.9,-0.000244692,,,
2.916667,-0.000244454,,,
2.933333,-0.000245407,,,
2.95,-0.000247553,,,
2.966667,-0.000249222,,,
2.983333,-0.000250176,,,
3,-0.000249937,,,
3.016667,-0.000248984,,,
3.033333,-0.000247553,,,
3.05,-0.000246361,,,
3.066667,-0.000245169,,,
3.083333,-0.00024493,,,
3.1,-0.000246361,,,
3.116667,-0.000247791,,,
3.133333,-0.000248984,,,
3.15,-0.000248984,,,
3.166667,-0.000248745,,,
3.183333,-0.000248268,,,
3.2,-0.000248268,,,
3.216667,-0.000248745,,,
3.233333,-0.000249222,,,
3.25,-0.00024946,,,
3.266667,-0.000249222,,,
3.283333,-0.000249222,,,
3.3,-0.000249222,,,
3.316667,-0.000250176,,,
3.333333,-0.000251368,,,
3.35,-0.000253275,,,
3.366667,-0.000254706,,,
3.383333,-0.000255421,,,
3.4,-0.000256375,,,
3.416667,-0.00025709,,,
3.433333,-0.00025709,,,
3.45,-0.000256613,,,
3.466667,-0.000256136,,,
3.483333,-0.000256136,,,
3.5,-0.000254944,,,
3.516667,-0.000252321,,,
3.533333,-0.000248268,,,
3.55,-0.000243023,,,
3.566667,-0.000237778,,,
3.583333,-0.000232294,,,
3.6,-0.000225857,,,
3.616667,-0.000217751,,,
3.633333,-0.000208214,,,
3.65,-0.000199154,,,
3.666667,-0.000190333,,,
3.683333,-0.000181034,,,
3.7,-0.000171259,,,
3.716667,-0.000160769,,,
3.733333,-0.00015004,,,
3.75,-0.000138596,,,
3.766667,-0.000126913,,,
3.783333,-0.000114515,,,
3.8,-8.11E-05,,,
3.816667,0.000109837,,,
3.833333,0.000610039,,,
3.85,0.001600668,,,
3.866667,0.002695963,,,
3.883333,0.003198072,,,
3.9,0.002765104,,,
3.916667,0.001738474,,,
3.933333,0.000840589,,,
3.95,0.000318453,,,
3.966667,0.000124142,,,
3.983333,8.43E-05,,,
4,8.89E-05,,,
4.016667,0.000102446,,,
4.033333,0.00011842,,,
4.05,0.000135109,,,
4.066667,0.000152752,,,
4.083333,0.000170633,,,
4.1,0.000188753,,,
4.116667,0.00020735,,,
4.133333,0.000226662,,,
4.15,0.000247166,,,
4.166667,0.000269815,,,
4.183333,0.000295803,,,
4.2,0.00032489,,,
4.216667,0.000356361,,,
4.233333,0.000387833,,,
4.25,0.00041692,,,
4.266667,0.000442192,,,
4.283333,0.000461265,,,
4.3,0.000470087,,,
4.316667,0.000469849,,,
4.333333,0.000464842,,,
4.35,0.000461742,,,
4.366667,0.000464842,,,
4.383333,0.000473663,,,
4.4,0.000487015,,,
4.416667,0.000504419,,,
4.433333,0.000528976,,,
4.45,0.000559971,,,
4.466667,0.000597403,,,
4.483333,0.000612661,,,
4.5,0.000580236,,,
4.516667,0.000502512,,,
4.533333,0.000412628,,,
4.55,0.000345871,,,
4.566667,0.000303194,,,
4.583333,0.000278637,,,
4.6,0.00026457,,,
4.616667,0.000257894,,,
4.633333,0.000256226,,,
4.65,0.000255749,,,
4.666667,0.000253126,,,
4.683333,0.000245974,,,
4.7,0.000230238,,,
4.716667,0.000204966,,,
4.733333,0.000170633,,,
4.75,0.000133202,,,
4.766667,9.86E-05,,,
4.783333,7.10E-05,,,
4.8,5.29E-05,,,
4.816667,4.45E-05,,,
4.833333,4.78E-05,,,
4.85,5.71E-05,,,
4.866667,6.17E-05,,,
4.883333,5.74E-05,,,
4.9,5.24E-05,,,
4.916667,5.62E-05,,,
4.933333,6.64E-05,,,
4.95,7.65E-05,,,
4.966667,8.43E-05,,,
4.983333,9.51E-05,,,
5,0.000105068,,,
5.016667,0.000105068,,,
5.033333,9.31E-05,,,
5.05,8.17E-05,,,
5.066667,8.55E-05,,,
5.083333,0.000116274,,,
5.1,0.000183031,,,
5.116667,0.000291273,,,
5.133333,0.000442192,,,
5.15,0.000662729,,,
5.166667,0.001407549,,,
5.183333,0.004258081,,,
5.2,0.01025407,,,
5.216667,0.02009504,,,
5.233333,0.02748482,,,
5.25,0.02728908,,,
5.266667,0.01987641,,,
5.283333,0.01089661,,,
5.3,0.005771801,,,
5.316667,0.003197357,,,
5.333333,0.002394125,,,
