Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1331,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,1.06E-05,,,
0.1166667,1.25E-05,,,
0.1333333,4.78E-05,,,
0.15,0.000272125,,,
0.1666667,0.000770897,,,
0.1833333,0.001664966,,,
0.2,0.002373308,,,
0.2166667,0.002413124,,,
0.2333333,0.00179109,,,
0.25,0.001005262,,,
0.2666667,0.000580162,,,
0.2833333,0.000400871,,,
0.3,0.000375122,,,
0.3166667,0.000320286,,,
0.3333333,0.000216335,,,
0.35,0.000104994,,,
0.3666667,4.18E-05,,,
0.3833333,1.06E-05,,,
0.4,-1.58E-06,,,
0.4166667,-1.76E-05,,,
0.4333333,-3.90E-05,,,
0.45,-6.02E-05,,,
0.4666667,-7.48E-05,,,
0.4833333,-8.60E-05,,,
0.5,-9.46E-05,,,
0.5166667,-0.000102431,,,
0.5333333,-0.000108868,,,
0.55,-0.00011459,,,
0.5666667,-0.00011912,,,
0.5833333,-0.00012365,,,
0.6,-0.000127226,,,
0.6166667,-0.000130087,,,
0.6333333,-0.000132948,,,
0.65,-0.000135571,,,
0.6666667,-0.000137955,,,
0.6833333,-0.000140101,,,
0.7,-0.000143439,,,
0.7166667,-0.000148207,,,
0.7333333,-0.000153214,,,
0.75,-0.000157744,,,
0.7666667,-0.000161797,,,
0.7833333,-0.00016585,,,
0.8,-0.000169188,,,
0.8166667,-0.000172287,,,
0.8333333,-0.000174433,,,
0.85,-0.00017491,,,
0.8666667,-0.000175625,,,
0.8833333,-0.000176579,,,
0.9,-0.000178725,,,
0.9166667,-0.000181586,,,
0.9333333,-0.000184685,,,
0.95,-0.000187546,,,
0.9666667,-0.000190169,,,
0.9833333,-0.000191599,,,
1,-0.000191122,,,
1.016667,-0.000190169,,,
1.033333,-0.000190407,,,
1.05,-0.000192314,,,
1.066667,-0.000195652,,,
1.083333,-0.000198513,,,
1.1,-0.000200898,,,
1.116667,-0.00020209,,,
1.133333,-0.000202805,,,
1.15,-0.000203043,,,
1.166667,-0.000203282,,,
1.183333,-0.000204712,,,
1.2,-0.000207573,,,
1.216667,-0.000210434,,,
1.233333,-0.000213534,,,
1.25,-0.000216633,,,
1.266667,-0.000219971,,,
1.283333,-0.000221878,,,
1.3,-0.000222594,,,
1.316667,-0.000222832,,,
1.333333,-0.000223309,,,
1.35,-0.000224739,,,
1.366667,-0.000226647,,,
1.383333,-0.000229746,,,
1.4,-0.000232846,,,
1.416667,-0.00023523,,,
1.433333,-0.000236422,,,
1.45,-0.000237137,,,
1.466667,-0.000238568,,,
1.483333,-0.000240237,,,
1.5,-0.000241906,,,
1.516667,-0.000243574,,,
1.533333,-0.000245482,,,
1.55,-0.000247628,,,
1.566667,-0.00024882,,,
1.583333,-0.00024882,,,
1.6,-0.000248343,,,
1.616667,-0.000248104,,,
1.633333,-0.00024882,,,
1.65,-0.000250727,,,
1.666667,-0.000252634,,,
1.683333,-0.000254303,,,
1.7,-0.000255495,,,
1.716667,-0.000256449,,,
1.733333,-0.000257641,,,
1.75,-0.000258833,,,
1.766667,-0.000260264,,,
1.783333,-0.000261456,,,
1.8,-0.000262886,,,
1.816667,-0.000265032,,,
1.833333,-0.000267178,,,
1.85,-0.000268847,,,
1.866667,-0.000268847,,,
1.883333,-0.000268847,,,
1.9,-0.000268608,,,
1.916667,-0.000268847,,,
1.933333,-0.000269085,,,
1.95,-0.000269324,,,
1.966667,-0.0002698,,,
1.983333,-0.000271469,,,
2,-0.00027433,,,
2.016667,-0.000276953,,,
2.033333,-0.000278622,,,
2.05,-0.000279814,,,
2.066667,-0.000280768,,,
2.083333,-0.000282198,,,
2.1,-0.000283867,,,
2.116667,-0.000286013,,,
2.133333,-0.000286967,,,
2.15,-0.000286967,,,
2.166667,-0.000286251,,,
2.183333,-0.000285298,,,
2.2,-0.000284821,,,
2.216667,-0.000285059,,,
2.233333,-0.000287205,,,
2.25,-0.000289828,,,
2.266667,-0.000291735,,,
2.283333,-0.000292212,,,
2.3,-0.000292212,,,
2.316667,-0.000293404,,,
2.333333,-0.000295788,,,
2.35,-0.000297934,,,
2.366667,-0.000298888,,,
2.383333,-0.000298888,,,
2.4,-0.000298888,,,
2.416667,-0.000299603,,,
2.433333,-0.000300795,,,
2.45,-0.000302225,,,
2.466667,-0.000303417,,,
2.483333,-0.000304848,,,
2.5,-0.000306279,,,
2.516667,-0.000307232,,,
2.533333,-0.000308424,,,
2.55,-0.000309616,,,
2.566667,-0.00031057,,,
2.583333,-0.000310332,,,
2.6,-0.000309378,,,
2.616667,-0.000308663,,,
2.633333,-0.000308901,,,
2.65,-0.000310332,,,
2.666667,-0.000312239,,,
2.683333,-0.000314623,,,
2.7,-0.000315815,,,
2.716667,-0.000316292,,,
2.733333,-0.000317007,,,
2.75,-0.000318438,,,
2.766667,-0.000320345,,,
2.783333,-0.000322729,,,
2.8,-0.000324637,,,
2.816667,-0.000326306,,,
2.833333,-0.000327736,,,
2.85,-0.00032869,,,
2.866667,-0.000328451,,,
2.883333,-0.000327975,,,
2.9,-0.000327498,,,
2.916667,-0.000327498,,,
2.933333,-0.000327975,,,
2.95,-0.000328213,,,
2.966667,-0.000328451,,,
2.983333,-0.000328451,,,
3,-0.000328213,,,
3.016667,-0.000328451,,,
3.033333,-0.000329405,,,
3.05,-0.000330836,,,
3.066667,-0.000332028,,,
3.083333,-0.000332028,,,
3.1,-0.000330836,,,
3.116667,-0.000329882,,,
3.133333,-0.000330597,,,
3.15,-0.000332028,,,
3.166667,-0.000333697,,,
3.183333,-0.000334889,,,
3.2,-0.000336081,,,
3.216667,-0.000337273,,,
3.233333,-0.000338227,,,
3.25,-0.000338703,,,
3.266667,-0.000339419,,,
3.283333,-0.000340372,,,
3.3,-0.000341326,,,
3.316667,-0.000342041,,,
3.333333,-0.000342041,,,
3.35,-0.000342518,,,
3.366667,-0.000343472,,,
3.383333,-0.000345379,,,
3.4,-0.000347287,,,
3.416667,-0.000348955,,,
3.433333,-0.000350148,,,
3.45,-0.000349432,,,
3.466667,-0.000347287,,,
3.483333,-0.000344425,,,
3.5,-0.000340849,,,
3.516667,-0.000337035,,,
3.533333,-0.000331789,,,
3.55,-0.000324875,,,
3.566667,-0.000316292,,,
3.583333,-0.000305563,,,
3.6,-0.000293165,,,
3.616667,-0.000279814,,,
3.633333,-0.000266224,,,
3.65,-0.000253111,,,
3.666667,-0.000240237,,,
3.683333,-0.000225455,,,
3.7,-0.000208288,,,
3.716667,-0.000188023,,,
3.733333,-0.000166565,,,
3.75,-0.000144869,,,
3.766667,-0.000124365,,,
3.783333,-0.000103623,,,
3.8,-7.88E-05,,,
3.816667,-1.30E-05,,,
3.833333,0.000145286,,,
3.85,0.000463814,,,
3.866667,0.000874847,,,
3.883333,0.001143068,,,
3.9,0.001099437,,,
3.916667,0.000799269,,,
3.933333,0.000482649,,,
3.95,0.000294536,,,
3.966667,0.000229448,,,
3.983333,0.000234217,,,
4,0.000259966,,,
4.016667,0.00029096,,,
4.033333,0.000323147,,,
4.05,0.00035581,,,
4.066667,0.00038895,,,
4.083333,0.000422567,,,
4.1,0.000456423,,,
4.116667,0.00049004,,,
4.133333,0.000524372,,,
4.15,0.000560373,,,
4.166667,0.000600189,,,
4.183333,0.000645012,,,
4.2,0.000695556,,,
4.216667,0.000748009,,,
4.233333,0.000798553,,,
4.25,0.000843853,,,
4.266667,0.00088343,,,
4.283333,0.000917763,,,
4.3,0.000945419,,,
4.316667,0.000965208,,,
4.333333,0.000979751,,,
4.35,0.000994533,,,
4.366667,0.001014322,,,
4.383333,0.001039356,,,
4.4,0.00106892,,,
4.416667,0.001100391,,,
4.433333,0.0011352,,,
4.45,0.00117287,,,
4.466667,0.001213402,,,
4.483333,0.001239389,,,
4.5,0.001231045,,,
4.516667,0.001186937,,,
4.533333,0.001128763,,,
4.55,0.001084179,,,
4.566667,0.001058191,,,
4.583333,0.001046985,,,
4.6,0.001045555,,,
4.616667,0.001051992,,,
4.633333,0.001064152,,,
4.65,0.001079172,,,
4.666667,0.001092046,,,
4.683333,0.001101106,,,
4.7,0.001101583,,,
4.716667,0.001090854,,,
4.733333,0.001069635,,,
4.75,0.001043409,,,
4.766667,0.001020759,,,
4.783333,0.001004785,,,
4.8,0.000997394,,,
4.816667,0.000998586,,,
4.833333,0.001008362,,,
4.85,0.001022905,,,
4.866667,0.001033157,,,
4.883333,0.001036733,,,
4.9,0.001040787,,,
4.916667,0.001052946,,,
4.933333,0.001070589,,,
4.95,0.001084894,,,
4.966667,0.001093477,,,
4.983333,0.001101822,,,
5,0.001108736,,,
5.016667,0.001105875,,,
5.033333,0.001089185,,,
5.05,0.001070827,,,
5.066667,0.001065105,,,
5.083333,0.001082748,,,
5.1,0.001131624,,,
5.116667,0.001221508,,,
5.133333,0.001352161,,,
5.15,0.001537174,,,
5.166667,0.001918882,,,
5.183333,0.004722208,,,
5.2,0.01079902,,,
5.216667,0.02311358,,,
5.233333,0.03390178,,,
5.25,0.03554496,,,
5.266667,0.02704868,,,
