Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1534,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,7.35E-06,,,
0.1166667,5.44E-06,,,
0.1333333,4.72E-06,,,
0.15,0.000658706,,,
0.1666667,0.002188638,,,
0.1833333,0.005641893,,,
0.2,0.008805946,,,
0.2166667,0.009463266,,,
0.2333333,0.007182553,,,
0.25,0.0037231,,,
0.2666667,0.001704171,,,
0.2833333,0.000602439,,,
0.3,0.000328258,,,
0.3166667,0.000208095,,,
0.3333333,0.000140384,,,
0.35,8.39E-05,,,
0.3666667,3.64E-05,,,
0.3833333,1.86E-06,,,
0.4,-1.53E-05,,,
0.4166667,-2.56E-05,,,
0.4333333,-3.94E-05,,,
0.45,-6.04E-05,,,
0.4666667,-8.40E-05,,,
0.4833333,-0.000101611,,,
0.5,-0.000115201,,,
0.5166667,-0.000124976,,,
0.5333333,-0.000133798,,,
0.55,-0.000142142,,,
0.5666667,-0.000149772,,,
0.5833333,-0.000156447,,,
0.6,-0.000161931,,,
0.6166667,-0.000166223,,,
0.6333333,-0.000169084,,,
0.65,-0.000169322,,,
0.6666667,-0.000166461,,,
0.6833333,-0.000156209,,,
0.7,-0.000146434,,,
0.7166667,-0.000145719,,,
0.7333333,-0.000156209,,,
0.75,-0.000171229,,,
0.7666667,-0.000180289,,,
0.7833333,-0.000185773,,,
0.8,-0.000188395,,,
0.8166667,-0.000191018,,,
0.8333333,-0.000193879,,,
0.85,-0.000196025,,,
0.8666667,-0.000197217,,,
0.8833333,-0.000198409,,,
0.9,-0.000199601,,,
0.9166667,-0.000200793,,,
0.9333333,-0.000201985,,,
0.95,-0.000203416,,,
0.9666667,-0.000205085,,,
0.9833333,-0.00020723,,,
1,-0.000208423,,,
1.016667,-0.000209376,,,
1.033333,-0.000210807,,,
1.05,-0.000213191,,,
1.066667,-0.000215098,,,
1.083333,-0.000215814,,,
1.1,-0.00021629,,,
1.116667,-0.000217482,,,
1.133333,-0.00022082,,,
1.15,-0.000224158,,,
1.166667,-0.000226781,,,
1.183333,-0.000227496,,,
1.2,-0.000227496,,,
1.216667,-0.000229642,,,
1.233333,-0.000233695,,,
1.25,-0.000237986,,,
1.266667,-0.00024204,,,
1.283333,-0.000245377,,,
1.3,-0.000247523,,,
1.316667,-0.000249431,,,
1.333333,-0.000250623,,,
1.35,-0.0002511,,,
1.366667,-0.0002511,,,
1.383333,-0.000251338,,,
1.4,-0.000252292,,,
1.416667,-0.000253961,,,
1.433333,-0.000256106,,,
1.45,-0.00025849,,,
1.466667,-0.000260159,,,
1.483333,-0.000260875,,,
1.5,-0.000260636,,,
1.516667,-0.000260398,,,
1.533333,-0.000260636,,,
1.55,-0.000261113,,,
1.566667,-0.000262305,,,
1.583333,-0.000264689,,,
1.6,-0.000266835,,,
1.616667,-0.000268027,,,
1.633333,-0.000268266,,,
1.65,-0.000268266,,,
1.666667,-0.000268981,,,
1.683333,-0.000270411,,,
1.7,-0.00027208,,,
1.716667,-0.000272796,,,
1.733333,-0.000273749,,,
1.75,-0.000275657,,,
1.766667,-0.000278041,,,
1.783333,-0.000280425,,,
1.8,-0.000281617,,,
1.816667,-0.000282571,,,
1.833333,-0.00028424,,,
1.85,-0.000286624,,,
1.866667,-0.000289485,,,
1.883333,-0.000292108,,,
1.9,-0.000293776,,,
1.916667,-0.000295207,,,
