time,temp,sulf,anly,yield product
68,58,85,65,0.2940383884095679
68,58,85,65,0.9083951314763937
68,58,85,65,0.3440773054934105
101,133,85,98,0.5234458221056324
101,133,85,98,0.4888445129173139
101,133,85,98,0.9184593893834241
113,58,86,83,0.3818627881951472
113,58,86,83,0.3215261762994725
113,58,86,83,0.31488826612759546
154,103,96,96,0.3542914313390447
154,103,96,96,0.30243169676454695
154,103,96,96,0.3381024868877461
180,103,92,44,0.8412682633038038
180,103,92,44,0.7587067991605478
180,103,92,44,0.8161509316266866
206,133,95,49,0.33351125796354786
206,133,95,49,0.6011093731660997
206,133,95,49,0.6618736480682679
252,58,75,57,0.39876777697586036
252,58,75,57,0.32572600041712935
252,58,75,57,0.36954540071914005
263,103,80,75,0.7633084927448996
263,103,80,75,0.7881812953326034
263,103,80,75,0.7570493097124092
268,133,83,74,0.3125590499421733
268,133,83,74,0.32244263669246315
268,133,83,74,0.28794567719776043
274,133,75,52,0.6558348749429667
274,133,75,52,0.6685312826857258
274,133,75,52,0.7509264288143607
315,58,87,77,0.21517185225791055
315,58,87,77,0.2420352725408328
315,58,87,77,0.2361261211551505
325,103,77,59,0.9758074170202001
325,103,77,59,0.9761863055021684
325,103,77,59,0.9765949858583914
372,133,96,41,0.3355992108589982
372,133,96,41,0.3895976638912023
372,133,96,41,0.33654712001795917
517,133,77,79,0.9597910924519617
517,133,77,79,0.9584710340037991
517,133,77,79,0.9644493662374876
590,58,87,74,0.9309821196139697
590,58,87,74,0.9543837109968479
590,58,87,74,0.9360560235912989
