3A_time,3A_temp,3A_sulf,3A_anly,3A_yield product
229,137,99,66,0.6260051224326307
229,137,99,66,0.6848032086065643
229,137,99,66,0.7566367758636
258,137,98,40,0.8959604305730773
258,137,98,40,0.8666527584277806
258,137,98,40,0.7323786969832417
276,137,96,54,0.744858040120387
276,137,96,54,0.758474425680855
276,137,96,54,0.7689903478456213
290,137,92,72,0.49254492410309947
290,137,92,72,0.5108262416652547
290,137,92,72,0.5016761933978156
301,119,90,71,0.1722443202532958
301,119,90,71,0.19235720464598194
301,119,90,71,0.20675486982808244
334,70,90,72,0.005766410486227381
334,70,90,72,0.00501713621441963
334,70,90,72,0.00653620831324778
339,70,80,49,0.0010777295781145987
339,70,80,49,0.0010107589184771178
339,70,80,49,0.0012249198068778231
405,70,94,58,0.013013120517659833
405,70,94,58,0.014151975370517341
405,70,94,58,0.013650197470809821
423,137,94,58,0.8335895886907412
423,137,94,58,0.7814171847771634
423,137,94,58,0.855716655249227
454,70,87,95,0.003230289213825705
454,70,87,95,0.003794007362103937
454,70,87,95,0.003613617140683325
502,119,92,94,0.29543693910485386
502,119,92,94,0.32576223595799875
502,119,92,94,0.3212055046644538
540,119,95,53,0.38981813618386735
540,119,95,53,0.36874241558892323
540,119,95,53,0.3628650237580581
569,137,99,65,0.9554192634829943
569,137,99,65,0.9846946098632796
569,137,99,65,0.9732085343942602
600,119,90,70,0.4309009853917783
600,119,90,70,0.43913900088819513
600,119,90,70,0.455865872429664
600,137,93,56,0.9137982244205636
600,137,93,56,0.9546582286610866
600,137,93,56,0.9706454295145697
