X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15,X16,Y16,X17,Y17,X18,Y18,X19,Y19,X20,Y20,X21,Y21,X22,Y22,X23,Y23,X24,Y24,X25,Y25,X26,Y26,X27,Y27,X28,Y28,X29,Y29,X30,Y30,X31,Y31,X32,Y32,X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.002,-256,0.002,324,0.002,48,0.002,-169,0.002,323,0.002,-486,0.002,-314,0.002,-368,0.002,117,0.002,-230,0.002,-329,0.002,-65,0.002,-70,0.002,-572,0.002,-515,0.002,-193,0.002,49,0.002,-224,0.002,-328,0.002,-399,0.002,-443,0.002,32,0.002,-113,0.002,-206,0.002,-735,0.002,-698,0.002,-217,0.002,-188,0.002,54,0.002,-560,0.002,-392,0.002,-227,0.002,-435,0.002,-498,0.002,-167,0.002,-551,0.002,-346,0.002,-333,0.002,-568,0.002,-311,0.002,-23,0.002,-114,0.002,-739,0.002,265,0.002,-461,0.002,-268,0.002,-16,0.002,-356
0.003,-358,0.003,611,0.003,-75,0.003,-646,0.003,731,0.003,-759,0.003,-717,0.003,-635,0.003,709,0.003,19,0.003,-535,0.003,-41,0.003,96,0.003,-717,0.003,-1083,0.003,-313,0.003,354,0.003,-444,0.003,-311,0.003,-501,0.003,-579,0.003,-180,0.003,-233,0.003,-481,0.003,-1357,0.003,-1433,0.003,-623,0.003,-409,0.003,155,0.003,-1059,0.003,-967,0.003,-703,0.003,-1194,0.003,-1281,0.003,-370,0.003,-1097,0.003,-970,0.003,-972,0.003,-1349,0.003,-743,0.003,-322,0.003,-154,0.003,-1421,0.003,81,0.003,-872,0.003,-560,0.003,166,0.003,-598
0.005,-385,0.005,1219,0.005,-303,0.005,-1199,0.005,989,0.005,-663,0.005,-1063,0.005,-860,0.005,1318,0.005,396,0.005,-402,0.005,102,0.005,478,0.005,-786,0.005,-1703,0.005,-265,0.005,1217,0.005,-606,0.005,-416,0.005,-567,0.005,-818,0.005,-538,0.005,-402,0.005,-719,0.005,-1999,0.005,-2108,0.005,-806,0.005,-853,0.005,553,0.005,-1430,0.005,-1621,0.005,-1519,0.005,-2029,0.005,-2007,0.005,-435,0.005,-1485,0.005,-1549,0.005,-1316,0.005,-2007,0.005,-1037,0.005,-761,0.005,-320,0.005,-1944,0.005,-231,0.005,-1214,0.005,-982,0.005,579,0.005,-1197
0.007,-250,0.007,1753,0.007,-697,0.007,-1890,0.007,1611,0.007,-264,0.007,-1701,0.007,-970,0.007,2140,0.007,926,0.007,-444,0.007,408,0.007,911,0.007,-326,0.007,-2179,0.007,88,0.007,2356,0.007,-427,0.007,-203,0.007,-691,0.007,-1162,0.007,-673,0.007,-696,0.007,-1191,0.007,-2142,0.007,-2359,0.007,-880,0.007,-1126,0.007,973,0.007,-1836,0.007,-2516,0.007,-2276,0.007,-2511,0.007,-2697,0.007,-689,0.007,-1631,0.007,-1908,0.007,-1371,0.007,-2907,0.007,-1424,0.007,-1141,0.007,-579,0.007,-2172,0.007,-463,0.007,-1742,0.007,-1134,0.007,731,0.007,-1573
0.008,-151,0.008,2326,0.008,-991,0.008,-2343,0.008,2198,0.008,274,0.008,-2185,0.008,-716,0.008,3071,0.008,1695,0.008,-673,0.008,658,0.008,1341,0.008,142,0.008,-2626,0.008,553,0.008,3742,0.008,133,0.008,241,0.008,-629,0.008,-1234,0.008,-638,0.008,-1247,0.008,-1586,0.008,-1943,0.008,-2183,0.008,-863,0.008,-1100,0.008,1239,0.008,-2115,0.008,-3333,0.008,-2903,0.008,-2604,0.008,-3201,0.008,-790,0.008,-1831,0.008,-1961,0.008,-1651,0.008,-3528,0.008,-2166,0.008,-1522,0.008,-733,0.008,-2365,0.008,-880,0.008,-2245,0.008,-1282,0.008,813,0.008,-2032
0.01,-57,0.01,2612,0.01,-1341,0.01,-2626,0.01,2654,0.01,917,0.01,-2834,0.01,-181,0.01,3781,0.01,2677,0.01,-800,0.01,1109,0.01,1491,0.01,995,0.01,-2727,0.01,936,0.01,4979,0.01,687,0.01,710,0.01,-611,0.01,-1139,0.01,-303,0.01,-1567,0.01,-1922,0.01,-1504,0.01,-1579,0.01,-837,0.01,-1025,0.01,1478,0.01,-2306,0.01,-4087,0.01,-3527,0.01,-2672,0.01,-3810,0.01,-902,0.01,-1936,0.01,-1835,0.01,-1635,0.01,-4214,0.01,-2858,0.01,-1606,0.01,-1079,0.01,-2458,0.01,-1383,0.01,-2711,0.01,-1502,0.01,1059,0.01,-2373
0.012,-29,0.012,2825,0.012,-1544,0.012,-2695,0.012,2824,0.012,1653,0.012,-3249,0.012,439,0.012,4378,0.012,3380,0.012,-847,0.012,1327,0.012,1647,0.012,1656,0.012,-2710,0.012,1329,0.012,6076,0.012,1590,0.012,928,0.012,-736,0.012,-1164,0.012,-22,0.012,-1638,0.012,-2103,0.012,-929,0.012,-822,0.012,-722,0.012,-1047,0.012,1848,0.012,-2466,0.012,-4577,0.012,-3943,0.012,-2388,0.012,-4292,0.012,-1161,0.012,-1950,0.012,-1471,0.012,-1121,0.012,-4694,0.012,-3367,0.012,-1593,0.012,-1292,0.012,-2524,0.012,-1562,0.012,-3206,0.012,-1386,0.012,1098,0.012,-2735
0.013,-92,0.013,2994,0.013,-1718,0.013,-2613,0.013,2870,0.013,2191,0.013,-3510,0.013,958,0.013,5083,0.013,3990,0.013,-1156,0.013,1416,0.013,1548,0.013,2160,0.013,-2564,0.013,1585,0.013,6737,0.013,2359,0.013,1081,0.013,-733,0.013,-1079,0.013,209,0.013,-1765,0.013,-2299,0.013,-198,0.013,125,0.013,-719,0.013,-825,0.013,1967,0.013,-2685,0.013,-4782,0.013,-3975,0.013,-1941,0.013,-4962,0.013,-1225,0.013,-1765,0.013,-927,0.013,-580,0.013,-5123,0.013,-4083,0.013,-1359,0.013,-1371,0.013,-2761,0.013,-1667,0.013,-3513,0.013,-869,0.013,847,0.013,-3076
0.015,-81,0.015,3097,0.015,-2050,0.015,-2435,0.015,2526,0.015,2735,0.015,-3537,0.015,1510,0.015,5500,0.015,4743,0.015,-1521,0.015,1184,0.015,1442,0.015,2270,0.015,-2329,0.015,1638,0.015,7089,0.015,2941,0.015,652,0.015,-1029,0.015,-913,0.015,79,0.015,-1957,0.015,-2238,0.015,488,0.015,840,0.015,-649,0.015,-609,0.015,1884,0.015,-2837,0.015,-4827,0.015,-4107,0.015,-1989,0.015,-5569,0.015,-1249,0.015,-1560,0.015,-247,0.015,-522,0.015,-5273,0.015,-4743,0.015,-1145,0.015,-1664,0.015,-3256,0.015,-1934,0.015,-3482,0.015,-848,0.015,831,0.015,-3620
0.017,14,0.017,3153,0.017,-2262,0.017,-2380,0.017,2207,0.017,3081,0.017,-3631,0.017,1804,0.017,5807,0.017,5076,0.017,-1648,0.017,981,0.017,1290,0.017,2305,0.017,-2378,0.017,1286,0.017,7201,0.017,3507,0.017,10,0.017,-1591,0.017,-1173,0.017,-235,0.017,-2011,0.017,-2274,0.017,681,0.017,1205,0.017,-735,0.017,-752,0.017,1834,0.017,-3001,0.017,-4920,0.017,-4271,0.017,-2315,0.017,-6187,0.017,-1391,0.017,-1185,0.017,300,0.017,-457,0.017,-5334,0.017,-5044,0.017,-686,0.017,-1936,0.017,-3621,0.017,-2168,0.017,-3383,0.017,-744,0.017,672,0.017,-3843
