X23,Y23
0,0
0.0008333333,0
0.001666667,0
0.0025,0
0.003333333,0
0.004166667,0
0.005,5.51343e-07
0.005833333,5.51343e-07
0.006666667,5.51343e-07
0.0075,1.266599e-06
0.008333333,2.935529e-06
0.009166667,5.319715e-06
0.01,7.227063e-06
0.01083333,6.273389e-06
0.01166667,3.412366e-06
0.0125,-6.407499e-07
0.01333333,-4.693866e-06
0.01416667,-7.31647e-06
0.015,-8.746982e-06
0.01583333,-9.700656e-06
0.01666667,-9.939075e-06
0.0175,-9.939075e-06
0.01833333,-8.508563e-06
0.01916667,-6.601214e-06
0.02,-4.932284e-06
0.02083333,-3.740191e-06
0.02166667,-2.548099e-06
0.0225,-1.639128e-07
0.02333333,5.081296e-06
0.02416667,1.318753e-05
0.025,2.224743e-05
0.02583333,2.868474e-05
0.02666667,3.178418e-05
0.0275,3.106892e-05
0.02833333,2.963841e-05
0.02916667,2.987683e-05
0.03,3.226101e-05
0.03083333,3.440678e-05
0.03166667,3.321469e-05
0.0325,2.892315e-05
0.03333333,2.391636e-05
0.03416667,2.034009e-05
0.035,1.867115e-05
0.03583333,1.747906e-05
0.03666667,1.557171e-05
0.0375,1.318753e-05
0.03833333,1.128018e-05
0.03916667,9.611249e-06
0.04,8.657575e-06
0.04083333,7.942319e-06
0.04166667,6.750226e-06
0.0425,5.081296e-06
0.04333333,2.458692e-06
0.04416667,-1.639128e-07
0.045,-1.832843e-06
0.04583333,-1.356006e-06
0.04666667,7.450581e-08
0.0475,-4.023314e-07
0.04833333,-2.30968e-06
0.04916667,-4.217029e-06
0.05,-4.932284e-06
0.05083333,-3.97861e-06
0.05166667,-3.740191e-06
0.0525,-4.932284e-06
0.05333333,-6.601214e-06
0.05416667,-7.554889e-06
0.055,-7.554889e-06
0.05583333,-7.793307e-06
0.05666667,-7.554889e-06
0.0575,-7.078052e-06
0.05833333,-6.601214e-06
0.05916667,-7.31647e-06
0.06,-8.270144e-06
0.06083333,-9.700656e-06
0.06166667,-1.041591e-05
0.0625,-1.113117e-05
0.06333333,-1.232326e-05
0.06416667,-1.327693e-05
0.065,-1.423061e-05
0.06583333,-1.54227e-05
0.06666667,-1.780689e-05
0.0675,-2.114475e-05
0.06833333,-2.352893e-05
0.06916667,-2.424419e-05
0.07,-2.30521e-05
0.07083333,-2.114475e-05
0.07166667,-1.852214e-05
0.0725,-1.780689e-05
0.07333333,-1.828372e-05
0.07416667,-1.971424e-05
0.075,-2.066791e-05
0.07583333,-2.114475e-05
0.07666667,-2.114475e-05
0.0775,-2.138317e-05
0.07833333,-2.186e-05
0.07916667,-2.233684e-05
0.08,-2.281368e-05
0.08083333,-2.209842e-05
0.08166667,-1.995265e-05
0.0825,-1.733005e-05
0.08333333,-1.518428e-05
0.08416667,-1.518428e-05
0.085,-1.709163e-05
0.08583333,-2.066791e-05
0.08666667,-2.448261e-05
0.0875,-2.662838e-05
0.08833333,-2.710521e-05
0.08916667,-2.543628e-05
0.09,-2.30521e-05
0.09083333,-2.019107e-05
0.09166667,-1.852214e-05
0.0925,-1.852214e-05
0.09333333,-1.947582e-05
0.09416667,-1.947582e-05
0.095,-1.804531e-05
0.09583333,-1.613796e-05
0.09666667,-1.518428e-05
0.0975,-1.613796e-05
0.09833333,-1.852214e-05
0.09916667,-2.090633e-05
0.1,-2.209842e-05
0.1008333,-2.233684e-05
0.1016667,-2.209842e-05
0.1025,-2.233684e-05
0.1033333,-2.186e-05
0.1041667,-2.186e-05
0.105,-2.209842e-05
0.1058333,-2.281368e-05
0.1066667,-2.424419e-05
0.1075,-2.591312e-05
0.1083333,-2.615154e-05
0.1091667,-2.376735e-05
0.11,-1.995265e-05
0.1108333,-1.709163e-05
0.1116667,-1.661479e-05
0.1125,-1.756847e-05
0.1133333,-1.685321e-05
0.1141667,-9.939075e-06
0.115,5.319715e-06
0.1158333,3.249943e-05
0.1166667,7.422268e-05
0.1175,0.00013192
0.1183333,0.0002053529
0.1191667,0.0002909452
0.12,0.0003848821
0.1208333,0.00048168
0.1216667,0.0005775243
0.1225,0.0006683618
0.1233333,0.0007496625
0.1241667,0.0008192807
0.125,0.000874117
0.1258333,0.0009146482
0.1266667,0.0009415895
0.1275,0.0009570867
0.1283333,0.0009613782
0.1291667,0.0009544641
0.13,0.0009382516
0.1308333,0.0009158403
0.1316667,0.0008893758
0.1325,0.000858143
0.1333333,0.0008216649
0.1341667,0.000778988
0.135,0.0007355958
0.1358333,0.0007062703
0.1366667,0.000745371
0.1375,0.0009952337
0.1383333,0.00172694
0.1391667,0.00330241
0.14,0.00601466
0.1408333,0.009874657
0.1416667,0.01447995
0.1425,0.01909168
0.1433333,0.02289732
0.1441667,0.02530964
0.145,0.02615507
0.1458333,0.02586134
0.1466667,0.02602704
0.1475,0.03058942
0.1483333,0.04692467
0.1491667,0.0849715
0.15,0.1531897
0.1508333,0.2535234
0.1516667,0.379264
0.1525,0.5174254
0.1533333,0.653601
