X33,Y33,X34,Y34,X35,Y35,X36,Y36,X37,Y37,X38,Y38,X39,Y39,X40,Y40,X41,Y41,X42,Y42,X43,Y43,X44,Y44,X45,Y45,X46,Y46,X47,Y47,X48,Y48
0.002,-529,0.002,-668,0.002,210,0.002,5,0.002,-205,0.002,-106,0.002,550,0.002,-75,0.002,-693,0.002,-257,0.002,-324,0.002,-477,0.002,-757,0.002,-258,0.002,525,0.002,-607
0.003,-751,0.003,-1146,0.003,593,0.003,-39,0.003,-73,0.003,-100,0.003,1125,0.003,116,0.003,-1639,0.003,-524,0.003,-706,0.003,-810,0.003,-1337,0.003,-587,0.003,714,0.003,-1088
0.005,-662,0.005,-1755,0.005,1175,0.005,-176,0.005,558,0.005,313,0.005,1559,0.005,180,0.005,-2531,0.005,-818,0.005,-1142,0.005,-931,0.005,-1549,0.005,-925,0.005,915,0.005,-1627
0.007,-674,0.007,-2276,0.007,1725,0.007,-35,0.007,1068,0.007,754,0.007,1896,0.007,327,0.007,-3360,0.007,-819,0.007,-1350,0.007,-820,0.007,-1628,0.007,-957,0.007,939,0.007,-2050
0.008,-736,0.008,-2571,0.008,2202,0.008,179,0.008,1519,0.008,1280,0.008,2181,0.008,477,0.008,-3607,0.008,-749,0.008,-1477,0.008,-321,0.008,-1540,0.008,-829,0.008,1223,0.008,-2071
0.01,-1008,0.01,-2594,0.01,2568,0.01,326,0.01,2034,0.01,1747,0.01,2319,0.01,533,0.01,-3680,0.01,-829,0.01,-1595,0.01,255,0.01,-1440,0.01,-669,0.01,1310,0.01,-1691
0.012,-1549,0.012,-2683,0.012,3214,0.012,483,0.012,2144,0.012,2213,0.012,2175,0.012,423,0.012,-3493,0.012,-823,0.012,-1738,0.012,533,0.012,-1224,0.012,-603,0.012,1653,0.012,-1435
0.013,-2189,0.013,-2553,0.013,3895,0.013,431,0.013,1828,0.013,2362,0.013,1939,0.013,288,0.013,-3383,0.013,-633,0.013,-1776,0.013,886,0.013,-1168,0.013,-730,0.013,1823,0.013,-1317
0.015,-2412,0.015,-2409,0.015,4623,0.015,85,0.015,1506,0.015,2027,0.015,1653,0.015,220,0.015,-3166,0.015,-636,0.015,-1863,0.015,779,0.015,-1069,0.015,-1205,0.015,1957,0.015,-1199
0.017,-2523,0.017,-2416,0.017,5342,0.017,-287,0.017,1129,0.017,1441,0.017,1165,0.017,106,0.017,-3243,0.017,-681,0.017,-2124,0.017,258,0.017,-1176,0.017,-1745,0.017,1566,0.017,-1500
