X16,Y16
0,0
0.0008333333,0
0.001666667,0
0.0025,0
0.003333333,0
0.004166667,3.576279e-06
0.005,2.861023e-06
0.005833333,1.192093e-06
0.006666667,-7.152557e-07
0.0075,-2.622604e-06
0.008333333,-4.053116e-06
0.009166667,-5.00679e-06
0.01,-4.768372e-06
0.01083333,-2.622604e-06
0.01166667,-2.384186e-07
0.0125,2.384186e-07
0.01333333,-1.907349e-06
0.01416667,-5.722046e-06
0.015,-8.821487e-06
0.01583333,-1.0252e-05
0.01666667,-1.144409e-05
0.0175,-1.28746e-05
0.01833333,-1.502037e-05
0.01916667,-1.716614e-05
0.02,-1.692772e-05
0.02083333,-1.358986e-05
0.02166667,-6.437302e-06
0.0225,3.576279e-06
0.02333333,1.597404e-05
0.02416667,3.0756e-05
0.025,4.410744e-05
0.02583333,5.412102e-05
0.02666667,6.03199e-05
0.0275,6.437302e-05
0.02833333,6.556511e-05
0.02916667,6.389618e-05
0.03,6.03199e-05
0.03083333,5.65052e-05
0.03166667,5.340576e-05
0.0325,5.102158e-05
0.03333333,4.887581e-05
0.03416667,4.696846e-05
0.035,4.482269e-05
0.03583333,4.243851e-05
0.03666667,3.933907e-05
0.0375,3.504753e-05
0.03833333,3.051758e-05
0.03916667,2.646446e-05
0.04,2.31266e-05
0.04083333,2.026558e-05
0.04166667,1.692772e-05
0.0425,1.430511e-05
0.04333333,1.28746e-05
0.04416667,1.096725e-05
0.045,8.106232e-06
0.04583333,4.053116e-06
0.04666667,9.536743e-07
0.0475,-2.384186e-07
0.04833333,9.536743e-07
0.04916667,3.576279e-06
0.05,5.245209e-06
0.05083333,4.768372e-06
0.05166667,2.384186e-06
0.0525,-9.536743e-07
0.05333333,-3.814697e-06
0.05416667,-5.245209e-06
0.055,-6.67572e-06
0.05583333,-7.629395e-06
0.05666667,-8.821487e-06
0.0575,-1.049042e-05
0.05833333,-1.311302e-05
0.05916667,-1.502037e-05
0.06,-1.40667e-05
0.06083333,-1.215935e-05
0.06166667,-1.001358e-05
0.0625,-9.059906e-06
0.06333333,-9.059906e-06
0.06416667,-9.298325e-06
0.065,-9.775162e-06
0.06583333,-1.144409e-05
0.06666667,-1.40667e-05
0.0675,-1.740456e-05
0.06833333,-1.907349e-05
0.06916667,-1.93119e-05
0.07,-1.93119e-05
0.07083333,-2.002716e-05
0.07166667,-2.169609e-05
0.0725,-2.217293e-05
0.07333333,-2.145767e-05
0.07416667,-2.074242e-05
0.075,-2.121925e-05
0.07583333,-2.384186e-05
0.07666667,-2.717972e-05
0.0775,-3.004074e-05
0.07833333,-3.147125e-05
0.07916667,-3.0756e-05
0.08,-2.789497e-05
0.08083333,-2.43187e-05
0.08166667,-2.121925e-05
0.0825,-1.978874e-05
0.08333333,-1.978874e-05
0.08416667,-2.002716e-05
0.085,-2.0504e-05
0.08583333,-2.098083e-05
0.08666667,-2.169609e-05
0.0875,-2.098083e-05
0.08833333,-1.764297e-05
0.08916667,-1.478195e-05
0.09,-1.382828e-05
0.09083333,-1.645088e-05
0.09166667,-1.978874e-05
0.0925,-2.264977e-05
0.09333333,-2.384186e-05
0.09416667,-2.288818e-05
0.095,-2.217293e-05
0.09583333,-2.217293e-05
0.09666667,-2.360344e-05
0.0975,-2.384186e-05
0.09833333,-2.217293e-05
0.09916667,-2.002716e-05
0.1,-1.859665e-05
0.1008333,-1.716614e-05
0.1016667,-1.573563e-05
0.1025,-1.478195e-05
0.1033333,-1.382828e-05
0.1041667,-1.311302e-05
0.105,-1.311302e-05
0.1058333,-1.311302e-05
0.1066667,-1.358986e-05
0.1075,-1.502037e-05
0.1083333,-1.788139e-05
0.1091667,-2.121925e-05
0.11,-2.31266e-05
0.1108333,-2.43187e-05
0.1116667,-2.503395e-05
0.1125,-2.503395e-05
0.1133333,-2.43187e-05
0.1141667,-2.169609e-05
0.115,-1.764297e-05
0.1158333,-1.215935e-05
0.1166667,-6.437302e-06
0.1175,-1.192093e-06
0.1183333,4.768372e-06
0.1191667,1.168251e-05
0.12,1.811981e-05
0.1208333,2.336502e-05
0.1216667,2.837181e-05
0.1225,3.218651e-05
0.1233333,3.576279e-05
0.1241667,3.790855e-05
0.125,3.838539e-05
0.1258333,3.767014e-05
0.1266667,3.767014e-05
0.1275,3.933907e-05
0.1283333,4.076958e-05
0.1291667,4.053116e-05
0.13,3.838539e-05
0.1308333,3.409386e-05
0.1316667,2.95639e-05
0.1325,2.503395e-05
0.1333333,2.074242e-05
0.1341667,1.621246e-05
0.135,1.430511e-05
0.1358333,2.717972e-05
0.1366667,0.0001041889
0.1375,0.000377655
0.1383333,0.001099348
0.1391667,0.002602339
0.14,0.005157471
0.1408333,0.008778572
0.1416667,0.01309776
0.1425,0.0174346
0.1433333,0.02103186
0.1441667,0.02333403
0.145,0.02416062
0.1458333,0.02387714
0.1466667,0.02396512
0.1475,0.02826953
0.1483333,0.04434824
0.1491667,0.08295035
0.15,0.1540368
