Channel,Channel Description,Channel Id,Channel Status,Channel Type
ACQUITY TUV ChA,ACQUITY TUV ChA 280nm,1363,Acquisition Finished,2D
0,0,,,
0.01666667,0,,,
0.03333333,0,,,
0.05,0,,,
0.06666667,0,,,
0.08333333,0,,,
0.1,1.61E-05,,,
0.1166667,2.37E-05,,,
0.1333333,0.000301957,,,
0.15,0.00112021,,,
0.1666667,0.00290978,,,
0.1833333,0.005063891,,,
0.2,0.01473844,,,
0.2166667,0.0713104,,,
0.2333333,0.2106754,,,
0.25,0.4675575,,,
0.2666667,0.7008277,,,
0.2833333,0.7449313,,,
0.3,0.5683028,,,
0.3166667,0.3049263,,,
0.3333333,0.1266423,,,
0.35,0.03936231,,,
0.3666667,0.01559818,,,
0.3833333,0.01033151,,,
0.4,0.007286429,,,
0.4166667,0.004527926,,,
0.4333333,0.003086686,,,
0.45,0.00232327,,,
0.4666667,0.002017379,,,
0.4833333,0.001732945,,,
0.5,0.00153029,,,
0.5166667,0.001359582,,,
0.5333333,0.001211286,,,
0.55,0.001006961,,,
0.5666667,0.000780702,,,
0.5833333,0.000595212,,,
0.6,0.000461936,,,
0.6166667,0.000378966,,,
0.6333333,0.000324845,,,
0.65,0.000286937,,,
0.6666667,0.000256896,,,
0.6833333,0.000229716,,,
0.7,0.000201106,,,
0.7166667,0.00017035,,,
0.7333333,0.000138402,,,
0.75,0.000109553,,,
0.7666667,8.45E-05,,,
0.7833333,6.35E-05,,,
0.8,4.49E-05,,,
0.8166667,2.83E-05,,,
0.8333333,1.37E-05,,,
0.85,1.55E-06,,,
0.8666667,-7.99E-06,,,
0.8833333,-1.49E-05,,,
0.9,-2.21E-05,,,
0.9166667,-3.14E-05,,,
0.9333333,-4.21E-05,,,
0.95,-4.54E-05,,,
0.9666667,-2.16E-05,,,
0.9833333,4.83E-05,,,
1,0.000166535,,,
1.016667,0.000262141,,,
1.033333,0.000268817,,,
1.05,0.000184655,,,
1.066667,7.38E-05,,,
1.083333,-3.70E-06,,,
1.1,-5.16E-05,,,
1.116667,-7.81E-05,,,
1.133333,-9.52E-05,,,
1.15,-0.000106692,,,
1.166667,-0.000107169,,,
1.183333,-8.81E-05,,,
1.2,-3.85E-05,,,
1.216667,3.45E-05,,,
1.233333,8.71E-05,,,
1.25,8.43E-05,,,
1.266667,2.97E-05,,,
1.283333,-3.25E-05,,,
1.3,-6.02E-05,,,
1.316667,-3.59E-05,,,
1.333333,4.16E-05,,,
1.35,0.000136972,,,
1.366667,0.000198722,,,
1.383333,0.000196099,,,
1.4,0.000141978,,,
1.416667,7.36E-05,,,
1.433333,1.37E-05,,,
1.45,-3.02E-05,,,
1.466667,-6.16E-05,,,
1.483333,-8.52E-05,,,
1.5,-0.000102639,,,
1.516667,-0.000113845,,,
1.533333,-0.000120282,,,
1.55,-0.000127673,,,
1.566667,-0.000137687,,,
1.583333,-0.000149846,,,
1.6,-0.000160337,,,
1.616667,-0.000166535,,,
1.633333,-0.000166774,,,
1.65,-0.000158906,,,
1.666667,-0.000145078,,,
1.683333,-0.000130057,,,
1.7,-0.000121713,,,
1.716667,-0.000124335,,,
1.733333,-0.000136256,,,
1.75,-0.000152707,,,
1.766667,-0.000167966,,,
1.783333,-0.000179887,,,
1.8,-0.00018847,,,
1.816667,-0.000195146,,,
1.833333,-0.000200391,,,
1.85,-0.000204682,,,
1.866667,-0.000208974,,,
1.883333,-0.000212789,,,
1.9,-0.00021565,,,
1.916667,-0.000218272,,,
1.933333,-0.000220656,,,
1.95,-0.000223756,,,
1.966667,-0.000226617,,,
1.983333,-0.000229001,,,
2,-0.000230908,,,
2.016667,-0.000231147,,,
2.033333,-0.000229955,,,
2.05,-0.000226855,,,
2.066667,-0.000222087,,,
2.083333,-0.00021708,,,
2.1,-0.000214219,,,
2.116667,-0.000214458,,,
2.133333,-0.000217557,,,
2.15,-0.000221372,,,
